col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,
ch_marksman_m1941_mp,CHALLENGE_MARKSMAN_M1941_MP,CHALLENGE_MARKSMAN_M1941_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7001,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_m1garand_mp,CHALLENGE_MARKSMAN_M1GARAND_MP,CHALLENGE_MARKSMAN_M1GARAND_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7004,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_stg44_mp,CHALLENGE_MARKSMAN_STG44_MP,CHALLENGE_MARKSMAN_STG44_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7006,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_m1a1_mp,CHALLENGE_MARKSMAN_M1A1_MP,CHALLENGE_MARKSMAN_M1A1_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7000,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_fg42_mp,CHALLENGE_MARKSMAN_FG42_MP,CHALLENGE_MARKSMAN_FG42_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7005,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_bar_mp,CHALLENGE_MARKSMAN_BAR_MP,CHALLENGE_MARKSMAN_BAR_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7003,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_svt40_mp,CHALLENGE_MARKSMAN_SVT40_MP,CHALLENGE_MARKSMAN_SVT40_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7002,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_greasegun_mp,CHALLENGE_MARKSMAN_GREASEGUN_MP,CHALLENGE_MARKSMAN_GREASEGUN_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7013,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_ppsh41_mp,CHALLENGE_MARKSMAN_PPSH41_MP,CHALLENGE_MARKSMAN_PPSH41_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7017,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_type100_mp,CHALLENGE_MARKSMAN_TYPE100_MP,CHALLENGE_MARKSMAN_TYPE100_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7015,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_mp28_mp,CHALLENGE_MARKSMAN_MP28_MP,CHALLENGE_MARKSMAN_MP28_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7016,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_thompson_mp,CHALLENGE_MARKSMAN_THOMPSON_MP,CHALLENGE_MARKSMAN_THOMPSON_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7012,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_mp40_mp,CHALLENGE_MARKSMAN_MP40_MP,CHALLENGE_MARKSMAN_MP40_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7014,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_lewis_mp,CHALLENGE_MARKSMAN_LEWIS_MP,CHALLENGE_MARKSMAN_LEWIS_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7030,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_mg15_mp,CHALLENGE_MARKSMAN_MG15_MP,CHALLENGE_MARKSMAN_MG15_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7032,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_bren_mp,CHALLENGE_MARKSMAN_BREN_MP,CHALLENGE_MARKSMAN_BREN_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7031,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_mg42_mp,CHALLENGE_MARKSMAN_MG42_MP,CHALLENGE_MARKSMAN_MG42_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7033,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_karabin_mp,CHALLENGE_MARKSMAN_KARABIN_MP,CHALLENGE_MARKSMAN_KARABIN_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7025,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_leeenfield_mp,CHALLENGE_MARKSMAN_LEEENFIELD_MP,CHALLENGE_MARKSMAN_LEEENFIELD_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7027,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_springfield_mp,CHALLENGE_MARKSMAN_SPRINGFIELD_MP,CHALLENGE_MARKSMAN_SPRINGFIELD_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7026,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_kar98_mp,CHALLENGE_MARKSMAN_KAR98_MP,CHALLENGE_MARKSMAN_KAR98_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7028,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_winchester1897_mp,CHALLENGE_MARKSMAN_WINCHESTER1897_MP,CHALLENGE_MARKSMAN_WINCHESTER1897_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7020,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_m30_mp,CHALLENGE_MARKSMAN_M30_MP,CHALLENGE_MARKSMAN_M30_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7021,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_walther_mp,CHALLENGE_MARKSMAN_WALTHER_MP,CHALLENGE_MARKSMAN_WALTHER_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7022,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_model21_mp,CHALLENGE_MARKSMAN_MODEL21_MP,CHALLENGE_MARKSMAN_MODEL21_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7023,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_luger_mp,CHALLENGE_MARKSMAN_LUGER_MP,CHALLENGE_MARKSMAN_LUGER_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7037,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_m1911_mp,CHALLENGE_MARKSMAN_M1911_MP,CHALLENGE_MARKSMAN_M1911_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7038,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_m712_mp,CHALLENGE_MARKSMAN_M712_MP,CHALLENGE_MARKSMAN_M712_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,7039,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_bazooka_mp,CHALLENGE_MARKSMAN_BAZOOKA_MP,CHALLENGE_MARKSMAN_BAZOOKA_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,10,500,25,1000,50,1500,75,2500,100,5000,,,,,,,,,7044,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_panzerschreck_mp,CHALLENGE_MARKSMAN_PANZERSCHRECK_MP,CHALLENGE_MARKSMAN_PANZERSCHRECK_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,10,500,25,1000,50,1500,75,2500,100,5000,,,,,,,,,7043,,,,,,,,,,,,,,,ch_marksman_master,,,,,,
ch_marksman_master,CHALLENGE_MARKSMAN_MASTERY,CHALLENGE_MARKSMAN_MASTERY_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,30,10000,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,
ch_marksman_g43_mp,CHALLENGE_MTX1_MARKSMAN_G43_MP,CHALLENGE_MTX1_MARKSMAN_G43_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,8000,,,,,,,,,,,,,,,,,,,,,
ch_marksman_sten_mp,CHALLENGE_MTX1_MARKSMAN_STEN_MP,CHALLENGE_MTX1_MARKSMAN_STEN_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,8001,,,,,,,,,,,,,,,,,,,,,
ch_marksman_breda30_mp,CHALLENGE_MTX1_MARKSMAN_BREDA30_MP,CHALLENGE_MTX1_MARKSMAN_BREDA30_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,8002,,,,,,,,,,,,,,,,,,,,,
ch_marksman_volk_mp,CHALLENGE_MTX2_MARKSMAN_VOLK_MP,CHALLENGE_MTX2_MARKSMAN_VOLK_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,8003,,,,,,,,,,,,,,,,,,,,,
ch_marksman_beretta_mp,CHALLENGE_MTX2_MARKSMAN_BERETTA_MP,CHALLENGE_MTX2_MARKSMAN_BERETTA_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,8004,,,,,,,,,,,,,,,,,,,,,
ch_marksman_p38_mp,CHALLENGE_DLC1_MARKSMAN_P38_MP,CHALLENGE_DLC1_MARKSMAN_P38_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,8005,,,,,,,,,,,,,,,,,,,,,
ch_marksman_reich_mp,CHALLENGE_MTX3_MARKSMAN_REICH_MP,CHALLENGE_MTX3_MARKSMAN_REICH_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,8006,,,,,,,,,,,,,,,,,,,,,
ch_marksman_enfieldno2_mp,CHALLENGE_MTX3_MARKSMAN_ENFIELDNO2_MP,CHALLENGE_MTX3_MARKSMAN_ENFIELDNO2_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,8007,,,,,,,,,,,,,,,,,,,,,
ch_marksman_mas38_mp,CHALLENGE_MTX3_5_MARKSMAN_MAS38_MP,CHALLENGE_MTX3_5_MARKSMAN_MAS38_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,8008,,,,,,,,,,,,,,,,,,,,,
ch_marksman_mg81_mp,CHALLENGE_MTX3_5_MARKSMAN_MG81_MP,CHALLENGE_MTX3_5_MARKSMAN_MG81_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,8009,,,,,,,,,,,,,,,,,,,,,
ch_marksman_m1935_mp,CHALLENGE_MTX4_MARKSMAN_M1935_MP,CHALLENGE_MTX4_MARKSMAN_M1935_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,8010,,,,,,,,,,,,,,,,,,,mtx4,,
ch_marksman_m2carbine_mp,CHALLENGE_MTX4_MARKSMAN_M2CARBINE_MP,CHALLENGE_MTX4_MARKSMAN_M2CARBINE_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,8011,,,,,,,,,,,,,,,,,,,mtx4,,
