a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,
0,none,MPUI_NO_ATTACHMENT,none,none,specialty_ks_null,PERKS_NO_ATTACHMENT,FALSE,,0,0,0,0,0,0,,,,
1,,WEAPON_SPECIAL_GRIP,special_grip,special_grip,,,,,0,0,0,0,0,0,,,,
2,scope,WEAPON_APERTURE_SIGHT,aperture_sight,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
3,scope,WEAPON_APERTURE_SIGHT,aperture_sight_1897,aperture_sight_1897,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,recruit|regular|hardened|veteran,,,
4,scope,WEAPON_APERTURE_SIGHT,aperture_sight_austen,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
5,scope,WEAPON_APERTURE_SIGHT,aperture_sight_avs36,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
6,scope,WEAPON_APERTURE_SIGHT,aperture_sight_bar,aperture_sight_bar,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,regular|hardened|veteran,,,
7,scope,WEAPON_APERTURE_SIGHT,aperture_sight_bechowiec,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
8,scope,WEAPON_APERTURE_SIGHT,aperture_sight_beretta,aperture_sight_beretta,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
9,scope,WEAPON_APERTURE_SIGHT,aperture_sight_blyskawica,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
10,scope,WEAPON_APERTURE_SIGHT,aperture_sight_bren,aperture_sight_bren,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,regular|hardened|veteran,,,
11,scope,WEAPON_APERTURE_SIGHT,aperture_sight_charlton,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
12,scope,WEAPON_APERTURE_SIGHT,aperture_sight_chatelleroult,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
13,scope,WEAPON_APERTURE_SIGHT,aperture_sight_dp28,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
14,scope,WEAPON_APERTURE_SIGHT,aperture_sight_emp44,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
15,scope,WEAPON_APERTURE_SIGHT,aperture_sight_erma,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
16,scope,WEAPON_APERTURE_SIGHT,aperture_sight_federov,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
17,scope,WEAPON_APERTURE_SIGHT,aperture_sight_fg42,aperture_sight_fg42,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,regular|hardened|veteran,,,
