model,category,-idIndex,primaryid,collision,transient override,-lobmodel,viewmodel,-worldmat,-viewmat,group1,group2,group3,group4,group5,group6,group7,group8,productionLevel,
ger_gren_younger_mask_base,eyewear,,27,0,none,,,,,younger,!scarf,,,,,,,,
ger_gren_king_mask_base,eyewear,,27,0,eyewear,,,,,king,!scarf,,,,,,,,
ger_gren_habhab_mask_base,eyewear,,27,0,eyewear,,,,,habhab,!scarf,,,,,,,,
ger_gren_silva_mask_base,eyewear,,27,0,eyewear,,,,,silva,!scarf,,,,,,,,
ger_gren_clark_mask_base,eyewear,,27,0,eyewear,,,,,clark,!scarf,,,,,,,,
ger_gren_starcher_mask_base,eyewear,,27,0,eyewear,,,,,starcher,!scarf,,,,,,,,
ger_gren_tab_mask_base,eyewear,,27,0,eyewear,,,,,tab,!scarf,,,,,,,,
ger_gren_mano_mask_base,eyewear,,27,0,eyewear,,,,,mano,!scarf,,,,,,,,
ger_gren_nguyen_mask_base,eyewear,,27,0,eyewear,,,,,nguyen,!scarf,,,,,,,,
ger_gren_elliot_mask_base,eyewear,,27,0,eyewear,,,,,elliot,!scarf,,,,,,,,
ger_gren_alfakey_mask_base,eyewear,,27,0,eyewear,,,,,alfakey,!scarf,,,,,,,,
ger_gren_joyce_mask_base,eyewear,,27,0,eyewear,,,,,joyce,!scarf,,,,,,,,
ger_younger_ghilliescarf_base,eyewear,,33,0,eyewear,,,,,younger,!scarf,,,,,,,,
ger_silva_ghilliescarf_base,eyewear,,33,0,eyewear,,,,,silva,!scarf,,,,,,,,
ger_king_ghilliescarf_base,eyewear,,33,0,eyewear,,,,,king,!scarf,,,,,,,,
ger_habhab_ghilliescarf_base,eyewear,,33,0,eyewear,,,,,habhab,!scarf,,,,,,,,
ger_tab_ghilliescarf_base,eyewear,,33,0,eyewear,,,,,tab,!scarf,,,,,,,,
ger_clark_ghilliescarf_base,eyewear,,33,0,eyewear,,,,,clark,!scarf,,,,,,,,
ger_starcher_ghilliescarf_base,eyewear,,33,0,eyewear,,,,,starcher,!scarf,,,,,,,,
ger_mano_ghilliescarf_base,eyewear,,33,0,eyewear,,,,,mano,!scarf,,,,,,,,
ger_alfakey_ghilliescarf_base,eyewear,,33,0,eyewear,,,,,alfakey,!scarf,,,,,,,,
ger_elliot_ghilliescarf_base,eyewear,,33,0,eyewear,,,,,elliot,!scarf,,,,,,,,
ger_joyce_ghilliescarf_base,eyewear,,33,0,eyewear,,,,,joyce,!scarf,,,,,,,,
ger_nguyen_ghilliescarf_base,eyewear,,33,0,eyewear,,,,,nguyen,!scarf,,,,,,,,
ger_silva_valeyepatch_base,eyewear,,34,0,eyewear,,,,,silva,,,,,,,,,
