botPersonalities,default|run_and_gun,default|run_and_gun,default|run_and_gun,default|run_and_gun,cqb,cqb,cqb,cqb,camper,camper,camper,camper,
botDifficulties,recruit,regular,hardened,veteran,recruit,regular,hardened,veteran,recruit,regular,hardened,veteran,
loadoutDivision,division_infantry|division_airborne|division_armored,division_infantry|division_airborne|division_armored,division_infantry|division_airborne|division_armored,division_infantry|division_airborne|division_armored,division_airborne|division_expeditionary,division_airborne|division_expeditionary,division_airborne|division_expeditionary,division_airborne|division_expeditionary,division_mountain|division_armored,division_mountain|division_armored,division_mountain|division_armored,division_mountain|division_armored,
loadoutPerkGUID4,specialty_class_launched|specialty_class_forage|specialty_class_hustle|specialty_class_rifleman,specialty_class_duelist|specialty_class_gunslinger|specialty_class_espionage|specialty_class_requisitions|specialty_class_energetic|specialty_class_ordnance,specialty_class_concussed|specialty_class_undercover|specialty_class_inconspicuous|specialty_class_hunker,specialty_class_concussed|specialty_class_undercover|specialty_class_inconspicuous|specialty_class_hunker|specialty_class_scoped,specialty_class_launched|specialty_class_forage|specialty_class_hustle|specialty_class_rifleman,specialty_class_duelist|specialty_class_gunslinger|specialty_class_espionage|specialty_class_requisitions|specialty_class_energetic|specialty_class_ordnance,specialty_class_concussed|specialty_class_undercover|specialty_class_inconspicuous|specialty_class_hunker,specialty_class_concussed|specialty_class_undercover|specialty_class_inconspicuous|specialty_class_hunker|specialty_class_scoped,specialty_class_launched|specialty_class_forage|specialty_class_hustle|specialty_class_rifleman,specialty_class_duelist|specialty_class_gunslinger|specialty_class_espionage|specialty_class_requisitions|specialty_class_energetic|specialty_class_ordnance,specialty_class_concussed|specialty_class_undercover|specialty_class_inconspicuous|specialty_class_hunker,specialty_class_concussed|specialty_class_undercover|specialty_class_inconspicuous|specialty_class_hunker|specialty_class_scoped,
loadoutPrimaryGUID,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,
loadoutPrimaryAttachmentGUID1,none,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,none,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,none,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,
loadoutPrimaryAttachmentGUID2,none,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,none,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,none,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,
loadoutPrimaryAttachmentGUID3,none,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,none,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,none,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,
loadoutPrimaryAttachmentGUID4,none,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,none,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,none,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,
loadoutPrimaryAttachmentGUID5,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachmentGUID6,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryCamoGUID,none,none,specialty_class_assigned,specialty_class_assigned,none,none,specialty_class_assigned,specialty_class_assigned,none,none,specialty_class_assigned,specialty_class_assigned,
loadoutPrimaryCamo2GUID,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryReticleGUID,none,none,specialty_class_assigned,specialty_class_assigned,none,none,specialty_class_assigned,specialty_class_assigned,none,none,specialty_class_assigned,specialty_class_assigned,
loadoutSecondaryGUID,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,
loadoutSecondaryAttachmentGUID1,none,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,none,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,none,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,
