shirt,1,3,9,13,16,1,3,9,13,16,1,3,9,13,16,1,3,9,
head,51,52,53,54,57,51,52,53,54,57,51,52,53,54,57,51,52,53,
pants,1,3,9,13,16,1,3,9,13,16,1,3,9,13,16,1,3,9,
eyewear,0,0,9,0,16,0,0,9,0,16,0,0,9,0,16,0,0,9,
hat,1,3,9,13,16,1,3,9,13,16,1,3,9,13,16,1,3,9,
gear,1,3,9,13,16,1,3,9,13,16,1,3,9,13,16,1,3,9,
shirt,2,33,27,31,32,2,33,27,31,32,2,33,27,31,32,2,33,27,
head,51,52,53,54,57,51,52,53,54,57,51,52,53,54,57,51,52,53,
pants,2,33,27,31,32,2,33,27,31,32,2,33,27,31,32,2,33,27,
eyewear,0,0,27,0,0,0,0,27,0,0,0,0,27,0,0,0,0,27,
hat,2,33,27,31,32,2,33,27,31,32,2,33,27,31,32,2,33,27,
gear,2,33,27,31,32,2,33,27,31,32,2,33,27,31,32,2,33,27,
