division_,any,infantry,airborne,armored,mountain,expeditionary,
loadoutDivision,infantry|airborne|armored|mountain|expeditionary,infantry,airborne,armored,mountain,expeditionary,
loadoutPrimaryGUID,m1941_mp|m1garand_mp|stg44_mp|greasegun_mp|ppsh41_mp|type100_mp|lewis_mp|mg15_mp|karabin_mp|springfield_mp|winchester1897_mp|m30_mp,m1941_mp|m1garand_mp|stg44_mp|m1a1_mp|fg42_mp|bar_mp|svt40_mp,greasegun_mp|ppsh41_mp|type100_mp|mp28_mp|thompson_mp|mp40_mp,lewis_mp|mg15_mp|bren_mp|mg42_mp,karabin_mp|springfield_mp|leeenfield_mp|kar98_mp,winchester1897_mp|m30_mp|walther_mp|model21_mp,
loadoutPrimaryAttachmentGUID1,none,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,
loadoutPrimaryAttachmentGUID2,none,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,
loadoutPrimaryAttachmentGUID3,none,attachmenttable,none,none,none,none,
loadoutEquipmentGUID,frag_grenade_mp|semtex_mp,frag_grenade_mp|semtex_mp,frag_grenade_mp|semtex_mp,frag_grenade_mp|semtex_mp,frag_grenade_mp|semtex_mp,frag_grenade_mp|semtex_mp,
loadoutEquipmentNumExtra,0,0,0,0,0,0,
loadoutOffhandGUID,none,none,none,none,none,smoke_grenade_mp|stun_grenade_mp,
loadoutOffhandNumExtra,0,0,0,0,0,0,
loadoutPerkGUID1,specialty_null,specialty_class_infantry_master,specialty_class_airborne_master,specialty_class_armored_master,specialty_class_mountain_master,specialty_class_expeditionary_master,
