specialty_class_,any,launched,rifleman,duelist,bang,concussed,primed,serrated,
loadoutPrimaryGUID,division_assigned,division_assigned,division_assigned,division_assigned,division_assigned,division_assigned,division_assigned,shovel_mp,
loadoutPrimaryAttachmentGUID1,division_assigned,division_assigned,division_assigned,division_assigned,division_assigned,division_assigned,division_assigned,none,
loadoutPrimaryAttachmentGUID2,division_assigned,division_assigned,division_assigned,division_assigned,division_assigned,division_assigned,division_assigned,none,
loadoutPrimaryAttachmentGUID3,division_assigned,division_assigned,division_assigned,division_assigned,division_assigned,division_assigned,division_assigned,none,
loadoutPrimaryAttachmentGUID4,none,none,none,none,none,none,attachmenttable,none,
loadoutPrimaryReticleGUID,reticletable,reticletable,reticletable,reticletable,reticletable,reticletable,reticletable,none,
loadoutPrimaryCamoGUID,camotable,camotable,camotable,camotable,camotable,camotable,camotable,none,
loadoutPrimaryCamo2GUID,none,none,none,none,none,none,none,none,
loadoutSecondaryGUID,weap_statstable,bazooka_mp|panzerschreck_mp,m1941_mp|m1garand_mp|stg44_mp|m1a1_mp|fg42_mp|bar_mp|svt40_mp|greasegun_mp|ppsh41_mp|type100_mp|mp28_mp|thompson_mp|mp40_mp lewis_mp|mg15_mp|bren_mp|mg42_mp|karabin_mp|springfield_mp|leeenfield_mp|kar98_mp|winchester1897_mp|m30_mp|walther_mp|model21_mp,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,
loadoutSecondaryAttachmentGUID1,none,none,none,attachmenttable,none,none,none,none,
loadoutSecondaryAttachmentGUID2,none,none,none,attachmenttable,none,none,none,none,
loadoutSecondaryReticleGUID,reticletable,none,reticletable,reticletable,reticletable,reticletable,reticletable,reticletable,
loadoutEquipmentGUID,division_assigned,division_assigned,division_assigned,division_assigned,frag_grenade_mp,frag_grenade_mp|semtex_mp,division_assigned,throwingknife_mp,
loadoutEquipmentNumExtra,division_assigned,division_assigned,division_assigned,division_assigned,1,1,division_assigned,1,
loadoutOffhandGUID,division_assigned,division_assigned,division_assigned,division_assigned,stun_grenade_mp|tabun_grenade_mp,stun_grenade_mp,division_assigned,division_assigned,
loadoutOffhandNumExtra,division_assigned,division_assigned,division_assigned,division_assigned,1,1,division_assigned,division_assigned,
