template_,any,any_noncamper,any_camper,
loadoutStreakGUID1,molotovs|uav|counter_uav|carepackage,molotovs|uav|carepackage,molotovs|counter_uav|carepackage,
loadoutStreakGUID2,fighter_strike|fritzx|flamethrower|mortar_strike|missile_strike|flak_gun,flamethrower|mortar_strike|missile_strike,flamethrower|mortar_strike|missile_strike,
loadoutStreakGUID3,emergency_carepackage|firebomb|paratroopers|airstrike|plane_gunner,firebomb|paratroopers|plane_gunner,emergency_carepackage|airstrike,
loadoutEquipmentGUID,frag_grenade_mp,frag_grenade_mp,frag_grenade_mp,
loadoutOffhandGUID,smoke_grenade_mp|stun_grenade_mp,smoke_grenade_mp|stun_grenade_mp,smoke_grenade_mp|stun_grenade_mp,
loadoutPerkGUID1,specialty_null,specialty_null,specialty_null,
loadoutPerkGUID2,specialty_null,specialty_null,specialty_null,
loadoutPerkGUID3,specialty_null,specialty_null,specialty_null,
loadoutPerkGUID4,specialty_null,specialty_null,specialty_null,
loadoutPerkGUID5,specialty_null,specialty_null,specialty_null,
loadoutPerkGUID6,specialty_null,specialty_null,specialty_null,
loadoutPerkGUID7,specialty_null,specialty_null,specialty_null,
loadoutPerkGUID8,specialty_null,specialty_null,specialty_null,
loadoutPerkGUID9,specialty_null,specialty_null,specialty_null,
