loadoutName,CLASS_CLASS1,CLASS_CLASS6,CLASS_CLASS3,CLASS_CLASS4,CLASS_CLASS7,CLASS_CLASS1,CLASS_CLASS6,CLASS_CLASS3,CLASS_CLASS4,CLASS_CLASS7,CLASS_DEFAULT,CLASS_DEFAULT,
loadoutDivision,0,1,2,3,4,0,1,2,3,4,1,1,
loadoutPrimary,mp40_mp,fg42_mp,thompson_mp,leeenfield_mp,bar_mp,fg42_mp,mp28_mp,bren_mp,leeenfield_mp,winchester1897_mp,greasegun_mp,greasegun_mp,
loadoutPrimaryAttachment,hipfire_smg,aperture_sight_fg42,hipfire_smg,reduced_sway,bayonet_allies,aperture_sight_fg42,hipfire_smg,fmj,reduced_sway,extended_range_shotgun,none,none,
loadoutPrimaryAttachment2,extended_mag,grip,extended_mag,telescopic_sight_enfield,fast_ads,extended_range_rifle,lens_sight,extended_mag,fmj,fast_ads,none,none,
loadoutPrimaryAttachment3,grip,bayonet_axis,extended_range_smg,extended_mag,grip,fast_ads,none,none,none,none,none,none,
loadoutPrimaryAttachment4,suppressor_smg_axis_3,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment5,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment6,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryCamo,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryCamo2,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryReticle,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondary,luger_mp,m1911_mp,luger_mp,m712_mp,luger_mp,luger_mp,m1911_mp,bazooka_mp,m712_mp,shovel_mp,luger_mp,luger_mp,
loadoutSecondaryAttachment,hipfire,fast_ads,extended_mag,extended_range,fast_ads,hipfire,fast_ads,none,extended_range,none,none,none,
loadoutSecondaryAttachment2,extended_mag,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment3,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment4,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment5,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment6,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryCamo,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryCamo2,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryReticle,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutEquipment,semtex_mp,semtex_mp,frag_grenade_mp,frag_grenade_mp,semtex_mp,frag_grenade_mp,none,semtex_mp,bouncingbetty_mp,none,frag_grenade_mp,frag_grenade_mp,
loadoutEquipmentNumExtra,0,0,0,0,0,0,0,0,0,0,0,0,
loadoutOffhand,signal_flare_mp,smoke_grenade_mp,stun_grenade_mp,tabun_grenade_mp,signal_flare_mp,none,smoke_grenade_mp,none,none,signal_flare_mp,none,none,
loadoutOffhandNumExtra,0,0,0,0,1,0,0,0,0,0,0,0,
loadoutPerk1,specialty_class_infantry_grandmaster,specialty_class_airborne_grandmaster,specialty_class_armored_grandmaster,specialty_class_mountain_grandmaster,specialty_class_expeditionary_grandmaster,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk4,specialty_class_gunslinger,specialty_class_scoped,specialty_class_energetic,specialty_class_hunker,specialty_class_hustle,specialty_class_primed,specialty_class_espionage,specialty_class_launched,specialty_class_lookout,specialty_class_hustle,specialty_class_espionage,specialty_class_espionage,
loadoutPerk5,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk6,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk7,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk8,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk9,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
