loadoutName,CLASS_CLASS1,CLASS_CLASS6,CLASS_CLASS3,CLASS_CLASS4,CLASS_CLASS7,DIVISIONS_DLC1_CLASS6,DIVISIONS_DLC3_CLASS7,DIVISIONS_DLC4_CLASS8,DIVISIONS_DLC4_CLASS9,DIVISIONS_DLC4_CLASS10,CLASS_DEFAULT,CLASS_DEFAULT,
loadoutDivision,0,1,2,3,4,6,7,8,9,10,1,1,
loadoutPrimary,mg81_loot0_mp,winchester1897_mp,volk_loot0_mp,beretta_loot0_mp,m2carbine_loot0_mp,sten_loot0_mp,riotshield_mp,bren_mp,leeenfield_mp,winchester1897_mp,greasegun_mp,greasegun_mp,
loadoutPrimaryAttachment,extended_mag,extended_range_shotgun,grip,hipfire_smg,rapid_fire,extended_mag,none,fmj,reduced_sway,extended_range_shotgun,none,none,
loadoutPrimaryAttachment2,aperture_sight_mg81,hipfire,head_damage,extended_mag,extended_mag,hipfire,none,extended_mag,fmj,fast_ads,none,none,
loadoutPrimaryAttachment3,fast_ads_lmg,dragon_breath_bolt_action_3,grenade_launcher_axis,suppressor_smg_axis_3,bayonet_allies,suppressor_smg_allies_3,none,none,none,none,none,none,
loadoutPrimaryAttachment4,fmj,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment5,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment6,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryCamo,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryCamo2,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryReticle,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondary,panzerschreck_mp,m712_mp,icepick_loot0_mp,reich_loot0_mp,enfieldno2_loot0_mp,ptrs41_loot0_mp,p38_mp,bazooka_mp,m712_mp,shovel_mp,luger_mp,luger_mp,
loadoutSecondaryAttachment,none,extended_range,none,tactical_knife,head_damage,none,extended_mag,none,extended_range,none,none,none,
loadoutSecondaryAttachment2,none,none,none,none,none,none,hipfire,none,none,none,none,none,
loadoutSecondaryAttachment3,none,none,none,none,none,none,tactical_knife,none,none,none,none,none,
loadoutSecondaryAttachment4,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment5,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment6,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryCamo,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryCamo2,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryReticle,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutEquipment,frag_grenade_mp,semtex_mp,frag_grenade_mp,c4_mp,semtex_mp,bouncingbetty_mp,semtex_mp,semtex_mp,bouncingbetty_mp,none,frag_grenade_mp,frag_grenade_mp,
loadoutEquipmentNumExtra,0,0,1,0,1,0,0,0,0,0,0,0,
loadoutOffhand,stun_grenade_mp,smoke_grenade_mp,tabun_grenade_mp,smoke_grenade_mp,signal_flare_mp,stun_grenade_mp,smoke_grenade_mp,stun_grenade_mp,none,signal_flare_mp,none,none,
loadoutOffhandNumExtra,0,0,0,0,1,0,0,0,0,0,0,0,
loadoutPerk1,specialty_class_infantry_enlisted,specialty_class_airborne_enlisted,specialty_class_armored_enlisted,specialty_class_mountain_enlisted,specialty_class_expeditionary_enlisted,specialty_class_resistance_enlisted,specialty_class_grenadier_enlisted,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk4,specialty_class_blitzkrieg,specialty_class_clandestine,specialty_class_saboteur,specialty_class_energetic,specialty_class_espionage,specialty_class_rifleman,specialty_class_shifty,specialty_class_specialist,specialty_class_lookout,specialty_class_hustle,specialty_class_espionage,specialty_class_espionage,
loadoutPerk5,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk6,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk7,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk8,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk9,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
