loadoutName,CLASS_CLASS1,CLASS_CLASS6,CLASS_CLASS3,CLASS_CLASS4,CLASS_CLASS7,
loadoutDivision,0,1,2,3,4,
loadoutPrimary,m1919_loot0_mp,winchester1897_mp,stg44_mp,thompson_mp,type100_mp,
loadoutPrimaryAttachment,grip,rapid_fire,rapid_fire,hipfire_smg,rapid_fire,
loadoutPrimaryAttachment2,extended_mag,extended_mag,extended_mag,extended_mag,extended_mag,
loadoutPrimaryAttachment3,rapid_fire,extended_range,bayonet_axis,none,grip,
loadoutPrimaryAttachment4,fast_ads,none,none,none,none,
loadoutPrimaryAttachment5,none,none,none,none,none,
loadoutPrimaryAttachment6,none,none,none,none,none,
loadoutPrimaryCamo,none,none,none,none,none,
loadoutPrimaryCamo2,none,none,none,none,none,
loadoutPrimaryReticle,none,none,none,none,none,
loadoutSecondary,m1911_mp,luger_mp,reich_loot0_mp,m712_mp,winchester1897_mp,
loadoutSecondaryAttachment,none,none,hipfire,extended_range,rapid_fire,
loadoutSecondaryAttachment2,none,none,none,none,extended_mag,
loadoutSecondaryAttachment3,none,none,none,none,none,
loadoutSecondaryAttachment4,none,none,none,none,none,
loadoutSecondaryAttachment5,none,none,none,none,none,
loadoutSecondaryAttachment6,none,none,none,none,none,
loadoutSecondaryCamo,none,none,none,none,none,
loadoutSecondaryCamo2,none,none,none,none,none,
loadoutSecondaryReticle,none,none,none,none,none,
loadoutEquipment,frag_grenade_mp,throwingknife_mp,semtex_mp,frag_grenade_mp,bouncingbetty_mp,
loadoutEquipmentNumExtra,0,0,0,0,1,
loadoutOffhand,smoke_grenade_mp,stun_grenade_mp,tabun_grenade_mp,smoke_grenade_mp,tabun_grenade_mp,
loadoutOffhandNumExtra,0,0,0,0,1,
loadoutPerk1,specialty_class_infantry_grandmaster,specialty_class_airborne_grandmaster,specialty_class_armored_grandmaster,specialty_class_mountain_grandmaster,specialty_class_expeditionary_grandmaster,
loadoutPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk4,specialty_class_hustle,specialty_class_forage,specialty_class_espionage,specialty_class_escalation,specialty_class_rifleman,
loadoutPerk5,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk6,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk7,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk8,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk9,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
