loadoutName,CLASS_CLASS1,CLASS_CLASS6,CLASS_CLASS3,CLASS_CLASS4,CLASS_CLASS7,DIVISIONS_DLC1_CLASS6,DIVISIONS_DLC3_CLASS7,DIVISIONS_DLC4_CLASS8,DIVISIONS_DLC4_CLASS9,DIVISIONS_DLC4_CLASS10,CLASS_DEFAULT,CLASS_DEFAULT,
loadoutDivision,0,1,2,3,4,6,7,8,9,10,1,1,
loadoutPrimary,mg81_loot0_mp,m2carbine_loot0_mp,m1935_loot0_mp,sterling_loot0_mp,baseballbat_loot0_mp,arisaka_loot0_mp,riotshield_mp,kar98_mp,kar98_mp,kar98_mp,greasegun_mp,greasegun_mp,
loadoutPrimaryAttachment,telescopic_sight_mg81,extended_mag,rapid_fire,suppressor_smg_allies_3,none,reduced_sway,none,reduced_sway,reduced_sway,reduced_sway,none,none,
loadoutPrimaryAttachment2,fmj,hipfire,extended_mag,extended_mag,none,rapid_fire_sniper,none,rapid_fire_sniper,rapid_fire_sniper,rapid_fire_sniper,none,none,
loadoutPrimaryAttachment3,grip,rapid_fire,bayonet_axis,hipfire_smg,none,fmj,none,none,none,none,none,none,
loadoutPrimaryAttachment4,extended_mag,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment5,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment6,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryCamo,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryCamo2,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryReticle,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondary,m30_mp,walther_mp,model21_mp,model21_mp,winchester1897_mp,m30_mp,blunderbuss_mp,none,none,none,luger_mp,luger_mp,
loadoutSecondaryAttachment,dragon_breath_break_3,dragon_breath_magazine_3,dragon_breath_break_3,dragon_breath_break_3,dragon_breath_bolt_action_3,dragon_breath_break_3,dragon_breath_break_3,none,none,none,none,none,
loadoutSecondaryAttachment2,rapid_fire,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment3,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment4,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment5,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment6,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryCamo,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryCamo2,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryReticle,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutEquipment,semtex_mp,frag_grenade_mp,semtex_mp,frag_grenade_mp,throwingknife_mp,bouncingbetty_mp,c4_mp,semtex_mp,bouncingbetty_mp,none,frag_grenade_mp,frag_grenade_mp,
loadoutEquipmentNumExtra,0,0,0,0,2,0,0,0,0,0,0,0,
loadoutOffhand,signal_flare_mp,tabun_grenade_mp,tabun_grenade_mp,signal_flare_mp,tabun_grenade_mp,smoke_grenade_mp,signal_flare_mp,none,none,signal_flare_mp,none,none,
loadoutOffhandNumExtra,0,0,0,0,1,0,0,0,0,0,0,0,
loadoutPerk1,specialty_class_infantry_grandmaster,specialty_class_airborne_grandmaster,specialty_class_armored_grandmaster,specialty_class_mountain_grandmaster,specialty_class_expeditionary_grandmaster,specialty_class_resistance_grandmaster,specialty_class_grenadier_grandmaster,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk4,specialty_class_clandestine,specialty_class_hustle,specialty_class_lookout,specialty_class_energetic,specialty_class_serrated,specialty_class_undercover,specialty_class_saboteur,specialty_class_launched,specialty_class_lookout,specialty_class_hustle,specialty_class_espionage,specialty_class_espionage,
loadoutPerk5,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk6,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk7,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk8,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk9,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
