a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,
mp_aachen_v2,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_airship,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_battleship_2,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_canon_farm,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_carentan_s2,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_carentan_s2_winter,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_d_day,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_dunkirk,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_egypt_02,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_egypt_02_dogfight,,,,,,,,,,,,,,,,,,dogfight,,
mp_flak_tower,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_forest_01,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_france_village,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_fuhrerbunker,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_gibraltar_02,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_house,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_london,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_market_garden,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_monte_cassino_v2,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_mountain_dogfight,,,,,,,,,,,,,,,,,,dogfight,,
mp_oldschool,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_paris_s2,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_prague,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_sandbox_01,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_stalingrad,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_tank_graveyard_2,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_v2_rocket_02,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_wolfslair,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_wolfslair_free,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_shipment_s2,ball,conf,ctf,dm,demo,dom,hp,sd,prop,war,,,,,undead,relic,infect,,,
mp_zombie_nest_01,,,,,,,,,,,zombies,,,,,,,,,
mp_zombie_training,,,,,,,,,,,zombies,,,,,,,,,
mp_zombie_house,,,,,,,,,,,zombies,,,,,,,,,
mp_zombie_island,,,,,,,,,,,zombies,,,,,,,,,
mp_zombie_berlin,,,,,,,,,,,zombies,,,,,,,,,
mp_zombie_dig_02,,,,,,,,,,,zombies,,,,,,,,,
mp_zombie_dnk,,,,,,,,,,,zombies,,,,,,,,,
mp_zombie_windmill,,,,,,,,,,,zombies,,,,,,,,,
mp_zombie_windmill_srv,,,,,,,,,,,zombies,,,,,,,,,
mp_zombie_dig_02_srv,,,,,,,,,,,zombies,,,,,,,,,
mp_zombie_dnk_srv,,,,,,,,,,,zombies,,,,,,,,,
mp_zombie_descent,,,,,,,,,,,zombies,,,,,,,,,
mp_raid_aachen,,,,,,,,,,,,raid,,,,,,,,
mp_raid_bulge,,,,,,,,,,,,raid,,,,,,,,
mp_raid_cobra,,,,,,,,,,,,raid,,,,,,,,
mp_raid_d_day,,,,,,,,,,,,raid,,,,,,,,
mp_raid_dlc2,,,,,,,,,,,,raid,,,,,,,,
mp_raid_dlc3,,,,,,,,,,,,raid,,,,,,,,
mp_raid_dlc4,,,,,,,,,,,,raid,,,,,,,,
mp_hub_allies,,,,,,,,,,,,,hub,,,,,,,
mp_hub_zombies_01,,,,,,,,,,,,,hub,,,,,,,
mp_scorestreak_training,,,,,,,,,,,,,,scorestreak_training,,,,,,
