model,category,-idIndex,primaryid,collision,transient override,-lobmodel,viewmodel,-worldmat,-viewmat,group1,group2,group3,group4,group5,group6,group7,group8,productionLevel,
usa_silva_a14mask_base,eyewear,,4,0,eyewear,,,,,silva,!scarf,,,,,,,,
usa_king_a14mask_base,eyewear,,4,0,eyewear,,,,,king,!scarf,,,,,,,,
usa_habhab_a14mask_base,eyewear,,4,0,eyewear,,,,,habhab,!scarf,,,,,,,,
usa_younger_a14mask_base,eyewear,,4,0,eyewear,,,,,younger,!scarf,,,,,,,,
usa_starcher_a14mask_base,eyewear,,4,0,eyewear,,,,,starcher,!scarf,,,,,,,,
usa_clark_a14mask_base,eyewear,,4,0,eyewear,,,,,clark,!scarf,,,,,,,,
usa_tab_a14mask_base,eyewear,,4,0,eyewear,,,,,tab,!scarf,,,,,,,,
usa_mano_a14mask_base,eyewear,,4,0,eyewear,,,,,mano,!scarf,,,,,,,,
usa_balthazar_a14mask_base,eyewear,,4,0,eyewear,,,,,elliot,!scarf,,,,,,,,
usa_gomez_a14mask_base,eyewear,,4,0,eyewear,,,,,nguyen,!scarf,,,,,,,,
usa_alfakey_a14mask_base,eyewear,,4,0,eyewear,,,,,alfakey,!scarf,,,,,,,,
usa_joyce_a14mask_base,eyewear,,4,0,eyewear,,,,,joyce,!scarf,,,,,,,,
usa_king_nursemask_base,eyewear,,5,0,Eyewear,,,,,king,!scarf,,,,,,,,
usa_habhab_nursemask_base,eyewear,,5,0,Eyewear,,,,,habhab,!scarf,,,,,,,,
usa_silva_nursemask_base,eyewear,,5,0,Eyewear,,,,,silva,!scarf,,,,,,,,
usa_younger_nursemask_base,eyewear,,5,0,Eyewear,,,,,younger,!scarf,,,,,,,,
usa_starcher_nursemask_base,eyewear,,5,0,Eyewear,,,,,starcher,!scarf,,,,,,,,
usa_clark_nursemask_base,eyewear,,5,0,Eyewear,,,,,clark,!scarf,,,,,,,,
usa_tab_nursemask_base,eyewear,,5,0,Eyewear,,,,,tab,!scarf,,,,,,,,
usa_mano_nursemask_base,eyewear,,5,0,Eyewear,,,,,mano,!scarf,,,,,,,,
usa_gomez_nursemask_base,eyewear,,5,0,Eyewear,,,,,nguyen,!scarf,,,,,,,,
usa_alfakey_nursemask_base,eyewear,,5,0,Eyewear,,,,,alfakey,!scarf,,,,,,,,
usa_balthazar_nursemask_base,eyewear,,5,0,Eyewear,,,,,elliot,!scarf,,,,,,,,
usa_joyce_nursemask_base,eyewear,,5,0,Eyewear,,,,,joyce,!scarf,,,,,,,,
usa_king_m38google_base,eyewear,,6,0,Eyewear,,,,,king,!scarf,,,,,,,,
usa_habhab_m38google_base,eyewear,,6,0,Eyewear,,,,,habhab,!scarf,,,,,,,,
usa_younger_m38google_base,eyewear,,6,0,Eyewear,,,,,younger,!scarf,,,,,,,,
usa_silva_m38google_base,eyewear,,6,0,Eyewear,,,,,silva,!scarf,,,,,,,,
usa_starcher_m38google_base,eyewear,,6,0,Eyewear,,,,,starcher,!scarf,,,,,,,,
usa_clark_m38google_base,eyewear,,6,0,Eyewear,,,,,clark,!scarf,,,,,,,,
usa_tab_m38google_base,eyewear,,6,0,Eyewear,,,,,tab,!scarf,,,,,,,,
usa_mano_m38google_base,eyewear,,6,0,Eyewear,,,,,mano,!scarf,,,,,,,,
usa_alfakey_m38google_base,eyewear,,6,0,Eyewear,,,,,alfakey,!scarf,,,,,,,,
usa_balthazar_m38google_base,eyewear,,6,0,Eyewear,,,,,elliot,!scarf,,,,,,,,
usa_gomez_m38google_base,eyewear,,6,0,Eyewear,,,,,nguyen,!scarf,,,,,,,,
usa_joyce_m38google_base,eyewear,,6,0,Eyewear,,,,,joyce,!scarf,,,,,,,,
usa_king_weldgogs_base,eyewear,,7,0,Eyewear,,,,,king,!scarf,,,,,,,,
usa_silva_weldgogs_base,eyewear,,7,0,Eyewear,,,,,silva,!scarf,,,,,,,,
usa_younger_weldgogs_base,eyewear,,7,0,Eyewear,,,,,younger,!scarf,,,,,,,,
usa_habhab_weldgogs_base,eyewear,,7,0,Eyewear,,,,,habhab,!scarf,,,,,,,,
usa_starcher_weldgogs_base,eyewear,,7,0,Eyewear,,,,,starcher,!scarf,,,,,,,,
usa_clark_weldgogs_base,eyewear,,7,0,Eyewear,,,,,clark,!scarf,,,,,,,,
usa_tab_weldgogs_base,eyewear,,7,0,Eyewear,,,,,tab,!scarf,,,,,,,,
usa_mano_weldgogs_base,eyewear,,7,0,Eyewear,,,,,mano,!scarf,,,,,,,,
usa_balthazar_weldgogs_base,eyewear,,7,0,Eyewear,,,,,elliot,!scarf,,,,,,,,
usa_gomez_weldgogs_base,eyewear,,7,0,Eyewear,,,,,nguyen,!scarf,,,,,,,,
usa_alfakey_weldgogs_base,eyewear,,7,0,Eyewear,,,,,alfakey,!scarf,,,,,,,,
usa_joyce_weldgogs_base,eyewear,,7,0,Eyewear,,,,,joyce,!scarf,,,,,,,,
eng_younger_facescarf_base,eyewear,,9,0,none,,,,,younger,!scarf,,,,,,,,
eng_king_facescarf_base,eyewear,,9,0,eyewear,,,,,king,!scarf,,,,,,,,
eng_habhab_facescarf_base,eyewear,,9,0,eyewear,,,,,habhab,!scarf,,,,,,,,
eng_silva_facescarf_base,eyewear,,9,0,eyewear,,,,,silva,!scarf,,,,,,,,
eng_tab_facescarf_base,eyewear,,9,0,eyewear,,,,,tab,!scarf,,,,,,,,
eng_starcher_facescarf_base,eyewear,,9,0,eyewear,,,,,starcher,!scarf,,,,,,,,
eng_clark_facescarf_base,eyewear,,9,0,eyewear,,,,,clark,!scarf,,,,,,,,
eng_mano_facescarf_base,eyewear,,9,0,eyewear,,,,,mano,!scarf,,,,,,,,
eng_balthazar_facescarf_base,eyewear,,9,0,eyewear,,,,,elliot,!scarf,,,,,,,,
eng_gomez_facescarf_base,eyewear,,9,0,eyewear,,,,,nguyen,!scarf,,,,,,,,
eng_alfakey_facescarf_base,eyewear,,9,0,eyewear,,,,,alfakey,!scarf,,,,,,,,
eng_joyce_facescarf_base,eyewear,,9,0,eyewear,,,,,joyce,!scarf,,,,,,,,
eng_king_atsglasses_base,eyewear,,10,0,eyewear,,,,,king,!scarf,,,,,,,,
