a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,m11,n12,o13,p14,q15,r16,s17,s18,t19,
maxrank,44,,,,,,,,,,,,,,,,,,,
maxrankfinalprestige,999,,,,,,,,,,,,,,,,,,,
maxprestige,10,,,,,,,,,,,,,,,,,,,
0,pfc1,0,3299,RANK_PVT,RANK_PVT_FULL,hud_playerlevel_1,3299,m1911_mp,luger_mp,winchester1897_mp,mp40_mp,thompson_mp,m1garand_mp,,none,none,wicht_gear_bitfield_zm,wicht_gear_bitfield_zm,wicht_gear_bitfield_zm,wicht_gear_bitfield_zm,lens_sight,1,1,,RANK_PVT_FULL,,,zm_ranked_up_1,,
1,pfc2,3299,10445,RANK_PVT,RANK_PVT_FULL2,hud_playerlevel_2,13744,,,,,2,2,,RANK_PVT_FULL_N,,,zm_ranked_up_2,1,
2,pfc3,13744,15516,RANK_PVT,RANK_PVT_FULL3,hud_playerlevel_3,29260,reich_mp,,,,3,3,,RANK_PVT_FULL_N,,,zm_ranked_up_3,,
3,lcpl1,29260,19449,RANK_PFC,RANK_PFC_FULL,hud_playerlevel_4,48709,,,,fast_ads,4,4,,RANK_PFC_FULL,,,zm_ranked_up_4,,
4,lcpl2,48709,22663,RANK_PFC,RANK_PFC_FULL2,hud_playerlevel_5,71372,semtex_mp,frag_grenade_mp,,,,5,5,cac,specialty_class_armor_zm,specialty_class_resourceful_zm,specialty_class_mule_kick_zm,RANK_PFC_FULL2,token,,zm_ranked_up_5,,
5,lcpl3,71372,25380,RANK_PFC,RANK_PFC_FULL3,hud_playerlevel_6,96752,,,,,6,6,,RANK_PFC_FULL3,token,,zm_ranked_up_6,1,
6,cpl1,96752,27734,RANK_TEC5,RANK_TEC5_FULL,hud_playerlevel_7,124486,,,,,7,7,,RANK_TEC5_FULL,token,,zm_ranked_up_7,,
7,cpl2,124486,29810,RANK_TEC5,RANK_TEC5_FULL2,hud_playerlevel_8,154295,,,,grip,8,8,,RANK_TEC5_FULL_N,token,,zm_ranked_up_8,,
8,cpl3,154295,31667,RANK_TEC5,RANK_TEC5_FULL3,hud_playerlevel_9,185962,,,,,9,9,,RANK_TEC5_FULL_N,token,,zm_ranked_up_9,,
9,sgt1,185962,33347,RANK_CPL,RANK_CPL_FULL,hud_playerlevel_10,219308,model21_mp,,,,10,10,,RANK_CPL_FULL,token,,zm_ranked_up_10,2,
10,sgt2,219308,34880,RANK_CPL,RANK_CPL_FULL2,hud_playerlevel_11,254189,,,,aperture_sight,11,11,,RANK_CPL_FULL_N,token,,zm_ranked_up_11,,
11,sgt3,254189,36291,RANK_TEC4,RANK_TEC4_FULL,hud_playerlevel_12,290480,,,,,12,12,,RANK_TEC4_FULL,token,,zm_ranked_up_12,,
12,ssgt1,290480,37597,RANK_TEC4,RANK_TEC4_FULL2,hud_playerlevel_13,328077,,,,,13,13,,RANK_TEC4_FULL_N,token,,zm_ranked_up_13,,
13,ssgt2,328077,38813,RANK_SGT,RANK_SGT_FULL,hud_playerlevel_14,366890,,,,,14,14,,RANK_SGT_FULL,token,,zm_ranked_up_14,1,
14,ssgt3,366890,39951,RANK_SGT,RANK_SGT_FULL2,hud_playerlevel_15,406841,bouncingbetty_mp,,,hipfire,15,15,,RANK_SGT_FULL_N,token,,zm_ranked_up_15,,
15,gysgt1,406841,41019,RANK_TEC3,RANK_TEC3_FULL,hud_playerlevel_16,447861,p38_mp,,,,16,16,,RANK_TEC3_FULL,token,,zm_ranked_up_16,,
16,gysgt2,447861,42027,RANK_TEC3,RANK_TEC3_FULL2,hud_playerlevel_17,489888,,,,,17,17,,RANK_TEC3_FULL_N,token,,zm_ranked_up_17,,
17,gysgt3,489888,42980,RANK_SSGT,RANK_SSGT_FULL,hud_playerlevel_18,532868,,,,fmj,18,18,,RANK_SSGT_FULL,token,,zm_ranked_up_18,1,
18,msgt1,532868,43884,RANK_SSGT,RANK_SSGT_FULL2,hud_playerlevel_19,576752,,,,,19,19,,RANK_SSGT_FULL_N,token,,zm_ranked_up_19,,
