infantry,4,,,,
1,9200,specialty_class_infantry_enlisted,800,DIVISIONS_OVERHAUL_INFANTRY_LEVEL1_UNLOCK,
2,31000,specialty_class_infantry_expert,1200,DIVISIONS_OVERHAUL_INFANTRY_LEVEL2_UNLOCK,
3,71450,specialty_class_infantry_master,1600,DIVISIONS_OVERHAUL_INFANTRY_LEVEL3_UNLOCK,
4,149650,specialty_class_infantry_grandmaster,2000,DIVISIONS_OVERHAUL_INFANTRY_LEVEL4_UNLOCK,
airborne,4,,,,
1,9200,specialty_class_airborne_enlisted,800,DIVISIONS_OVERHAUL_AIRBORNE_LEVEL1_UNLOCK,
2,31000,specialty_class_airborne_expert,1200,DIVISIONS_OVERHAUL_AIRBORNE_LEVEL2_UNLOCK,
3,71450,specialty_class_airborne_master,1600,DIVISIONS_OVERHAUL_AIRBORNE_LEVEL3_UNLOCK,
4,149650,specialty_class_airborne_grandmaster,2000,DIVISIONS_OVERHAUL_AIRBORNE_LEVEL4_UNLOCK,
armored,4,,,,
1,9200,specialty_class_armored_enlisted,800,DIVISIONS_OVERHAUL_ARMORED_LEVEL1_UNLOCK,
2,31000,specialty_class_armored_expert,1200,DIVISIONS_OVERHAUL_ARMORED_LEVEL2_UNLOCK,
3,71450,specialty_class_armored_master,1600,DIVISIONS_OVERHAUL_ARMORED_LEVEL3_UNLOCK,
4,149650,specialty_class_armored_grandmaster,2000,DIVISIONS_OVERHAUL_ARMORED_LEVEL4_UNLOCK,
mountain,4,,,,
1,9200,specialty_class_mountain_enlisted,800,DIVISIONS_OVERHAUL_MOUNTAIN_LEVEL1_UNLOCK,
2,31000,specialty_class_mountain_expert,1200,DIVISIONS_OVERHAUL_MOUNTAIN_LEVEL2_UNLOCK,
3,71450,specialty_class_mountain_master,1600,DIVISIONS_OVERHAUL_MOUNTAIN_LEVEL3_UNLOCK,
4,149650,specialty_class_mountain_grandmaster,2000,DIVISIONS_OVERHAUL_MOUNTAIN_LEVEL4_UNLOCK,
expeditionary,4,,,,
1,9200,specialty_class_expeditionary_enlisted,800,DIVISIONS_OVERHAUL_EXPEDITIONARY_LEVEL1_UNLOCK,
2,31000,specialty_class_expeditionary_expert,1200,DIVISIONS_OVERHAUL_EXPEDITIONARY_LEVEL2_UNLOCK,
3,71450,specialty_class_expeditionary_master,1600,DIVISIONS_OVERHAUL_EXPEDITIONARY_LEVEL3_UNLOCK,
4,149650,specialty_class_expeditionary_grandmaster,2000,DIVISIONS_OVERHAUL_EXPEDITIONARY_LEVEL4_UNLOCK,
none,4,,,,
1,9200,specialty_class_expeditionary_enlisted,800,DIVISIONS_OVERHAUL_EXPEDITIONARY_LEVEL1_UNLOCK,
2,31000,specialty_class_expeditionary_expert,1200,DIVISIONS_OVERHAUL_EXPEDITIONARY_LEVEL2_UNLOCK,
3,71450,specialty_class_expeditionary_master,1600,DIVISIONS_OVERHAUL_EXPEDITIONARY_LEVEL3_UNLOCK,
4,149650,specialty_class_expeditionary_grandmaster,2000,DIVISIONS_OVERHAUL_EXPEDITIONARY_LEVEL4_UNLOCK,
resistance,4,,,,
1,9200,specialty_class_resistance_enlisted,800,DIVISIONS_OVERHAUL_RESISTANCE_LEVEL1_UNLOCK,
2,31000,specialty_class_resistance_expert,1200,DIVISIONS_OVERHAUL_RESISTANCE_LEVEL2_UNLOCK,
3,71450,specialty_class_resistance_master,1600,DIVISIONS_OVERHAUL_RESISTANCE_LEVEL3_UNLOCK,
4,149650,specialty_class_resistance_grandmaster,2000,DIVISIONS_OVERHAUL_RESISTANCE_LEVEL4_UNLOCK,
grenadier,4,,,,
1,9200,specialty_class_grenadier_enlisted,800,DIVISIONS_DLC3_GRENADIER_LEVEL1_UNLOCK,
2,31000,specialty_class_grenadier_expert,1200,DIVISIONS_DLC3_GRENADIER_LEVEL2_UNLOCK,
3,71450,specialty_class_grenadier_master,1600,DIVISIONS_DLC3_GRENADIER_LEVEL3_UNLOCK,
4,149650,specialty_class_grenadier_grandmaster,2000,DIVISIONS_DLC3_GRENADIER_LEVEL4_UNLOCK,
commando,4,,,,
1,9200,specialty_class_commando_enlisted,800,DIVISIONS_DLC4_COMMANDO_LEVEL1_UNLOCK,
2,31000,specialty_class_commando_expert,1200,DIVISIONS_DLC4_COMMANDO_LEVEL2_UNLOCK,
3,71450,specialty_class_commando_master,1600,DIVISIONS_DLC4_COMMANDO_LEVEL3_UNLOCK,
4,149650,specialty_class_commando_grandmaster,2000,DIVISIONS_DLC4_COMMANDO_LEVEL4_UNLOCK,
