division_index,0,1,2,3,4,5,
Primary,1,1,1,1,1,1,
Primary_Attachment1,1,1,1,1,1,1,
Primary_Attachment2,1,1,1,1,1,1,
Primary_Attachment3,2,2,2,2,2,2,
Primary_Attachment4,2,-1,-1,-1,-1,-1,
Secondary,1,1,1,1,1,1,
Secondary_Attachment1,1,1,1,1,1,1,
Secondary_Attachment2,2,2,2,2,2,2,
Lethal1,1,1,1,1,1,1,
Lethal2,2,2,2,2,2,2,
Lethal3,-1,-1,-1,-1,-1,-1,
Tactical1,1,1,1,1,1,1,
Tactical2,1,1,1,1,1,1,
Tactical3,-1,-1,-1,-1,2,-1,
Perk_Slot1_Loc1,1,1,1,1,1,1,
Perk_Slot1_Loc2,2,2,2,2,2,2,
Perk_Slot1_Loc3,-1,2,-1,-1,-1,-1,
Perk_Slot2_Loc1,1,1,1,1,1,1,
Perk_Slot2_Loc2,2,2,2,2,2,2,
Perk_Slot2_Loc3,-1,-1,2,-1,-1,-1,
Perk_Slot3_Loc1,1,1,1,1,1,1,
Perk_Slot3_Loc2,2,2,2,2,2,2,
Perk_Slot3_Loc3,-1,-1,-1,2,-1,-1,
primary_rifle,1,0,0,0,0,1,
primary_smg,0,1,0,0,0,1,
primary_lmg,0,0,1,0,0,1,
primary_sniper,0,0,0,1,0,1,
primary_shotgun,0,0,0,0,1,1,
primary_pistol,0,0,0,0,0,1,
primary_launcher,0,0,0,0,0,0,
primary_melee,0,0,0,0,0,0,
secondary_rifle,1,1,1,1,1,1,
secondary_smg,1,1,1,1,1,1,
secondary_lmg,1,1,1,1,1,1,
secondary_sniper,1,1,1,1,1,1,
secondary_shotgun,1,1,1,1,1,1,
secondary_pistol,1,1,1,1,1,1,
secondary_launcher,1,1,1,1,1,1,
secondary_melee,1,1,1,1,1,1,
