a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,
dm,MPUI_DEATHMATCH,MENU_KILL_EVERYONE_FIRST_PLAYER,icon_pl_exo_free_for_all,0,1,0,0,PRESENCE_C_FFA,LUA_MENU_DM_HARDCORE,,
war,MPUI_TEAM_DEATHMATCH,MENU_KILL_PLAYERS_ON_THE_OPPOSING,icon_pl_exo_team_deathmatch,1,1,0,0,PRESENCE_C_TDM,LUA_MENU_WAR_HARDCORE,,
sd,MPUI_SEARCH_AND_DESTROY,MENU_TEAMS_TAKE_TURNS_DEFENDING,icon_pl_exo_search_and_destroy,1,1,1,0,PRESENCE_C_SD,LUA_MENU_SD_HARDCORE,,
dom,MPUI_DOMINATION,MENU_CAPTURE_AND_HOLD_THE,icon_pl_exo_domination,1,1,1,0,PRESENCE_C_DOM,LUA_MENU_DOM_HARDCORE,,
ctf,MPUI_CTF,MENU_CTF_DESC,icon_pl_exo_capture_the_flag,1,1,1,0,PRESENCE_C_CTF,,,
gun,MPUI_GUN,MENU_GUN_DESC,icon_pl_exo_gun_game,0,0,0,0,PRESENCE_C_GUN,,,
infect,MPUI_INFECT,MENU_INFECT_DESC,icon_pl_exo_infected,0,1,0,0,PRESENCE_C_INFECT,,,
conf,MPUI_CONF,MENU_CONF_DESC,icon_pl_exo_kill_confirmed,1,1,0,0,PRESENCE_C_CONF_TDM,LUA_MENU_CONF_HARDCORE,,
hp,MPUI_HP,MENU_HP_DESC,icon_pl_exo_hardpoint,1,1,0,0,PRESENCE_C_HP,,,
ball,MPUI_BALL,MPUI_BALL_DESC,icon_pl_exo_uplink,1,1,1,0,PRESENCE_C_UPLINK,,,
zombies,LUA_MENU_ZOMBIES,LUA_MENU_ZOMBIES_DESC,icon_pl_sur_survival,0,0,0,0,,,,
hub,MPUI_HUB,MENU_MP_HUB,icon_pl_exo_team_deathmatch,0,0,0,0,,,,
raid,MPUI_RAIDS,MENU_RAIDS_DESC,icon_pl_raid,1,1,0,0,PRESENCE_C_TDM,,,
lockdown,MPUI_LOCKDOWN,MENU_LOCKDOWN_DESC,icon_pl_exo_domination,1,1,1,0,PRESENCE_C_DOM,,,
blades,LUA_MENU_BLADES_MODE_NAME,LUA_MENU_BLADES_MODE_DESC,icon_pl_exo_sticks_and_stones,0,0,0,0,PRESENCE_C_FFA,,,
onevone,MPUI_ONEVONE,MENU_ONEVONE_DESC,icon_pl_exo_free_for_all,0,0,0,0,PRESENCE_C_FFA,,,
scorestreak_training,MPUI_SCORESTREAK_TRAINING,MENU_SCORESTREAK_TRAINING_DESC,icon_pl_exo_search_and_destroy,0,0,0,0,,,,
demo,MPUI_DEMO,MENU_DEMO_DESC,icon_pl_exo_demolition,1,1,1,0,PRESENCE_C_SD,,,
control,Control,Control,icon_pl_exo_free_for_all,1,1,1,0,PRESENCE_C_FFA,,,
assault,Assault,Assault,icon_pl_exo_free_for_all,1,1,0,0,PRESENCE_C_FFA,,,
br,MPUI_BR,MENU_BR_DESC,icon_pl_exo_free_for_all,0,0,0,0,PRESENCE_C_BR,,,
prop,MPUI_PH_TITLE,MENU_PH_DESC,icon_pl_exo_prop_hunt,1,0,0,1,PRESENCE_C_TDM,,,
spy,MPUI_SPY_TITLE,MENU_SPY_DESC,icon_pl_exo_free_for_all,0,0,0,0,PRESENCE_C_SPY,,,
aon,LUA_MENU_AON_MODE_NAME,LUA_MENU_AON_MODE_DESC,icon_pl_exo_all_or_nothing,0,0,0,0,PRESENCE_C_FFA,,,
oitc,LUA_MENU_OITC_MODE_NAME,LUA_MENU_OITC_MODE_DESC,icon_pl_exo_one_in_the_chamber,0,0,0,0,PRESENCE_C_FFA,,,
undead,LUA_MENU_UNDEAD_MODE_NAME,LUA_MENU_UNDEAD_MODE_DESC,icon_pl_exo_undead,1,1,0,0,PRESENCE_C_FFA,,,
relic,LUA_MENU_RELIC_MODE_NAME,LUA_MENU_RELIC_MODE_DESC,icon_pl_exo_relic,1,1,0,0,PRESENCE_C_FFA,,,
dogfight,LUA_MENU_DOGFIGHT_MODE_NAME,LUA_MENU_DOGFIGHT_MODE_DESC,icon_pl_exo_dogfight,1,0,0,0,PRESENCE_C_DOGFIGHT,,,
dogfight_ffa,LUA_MENU_DOGFIGHT_FFA_MODE_NAME,LUA_MENU_DOGFIGHT_FFA_MODE_DESC,icon_pl_exo_dogfight,0,0,0,0,PRESENCE_C_DOGFIGHT_FFA,,,
