model,category,idIndex,primaryid,collision,transient override,lobmodel,viewmodel,worldmat,viewmat,group1,group2,group3,group4,group5,group6,group7,group8,productionLevel,
usa_dismem_whole_a,shirt,,300,0,none,,,,,,,,,,,,,,
usa_dismem_whole_b,shirt,,301,0,none,,,,,,,,,,,,,,
usa_dismem_whole_c,shirt,,302,0,none,,,,,,,,,,,,,,
usa_dismem_whole_d,shirt,,303,0,none,,,,,,,,,,,,,,
zom_m_infected_base,shirt,,492,0,none,,player_zom_infected_view_arms_base,,,,,,,,,,,,
eng_m_quarter_mtx5,shirt,,493,0,none,,,,,,,,,,,,,,
eng_m_quarter_org1,shirt,,494,0,none,,,,,,,,,,,,,,
usa_wasp_org1,shirt,,495,0,none,,,,,,,,,,,,,,
usa_firing_org1,shirt,,497,0,none,,,,,,,,,,,,,,
usa_recruitment_fte,shirt,,498,0,none,,,,,,,,,,,,,,
usa_quarter_org1,shirt,,506,0,none,,,,,,,,,,,,,,
usa_requisition_org1,shirt,,507,0,none,,,,,,,,,,,,,,
usa_f_blacksmith_org1,shirt,,508,0,none,,,,,,,,,,,,,,
zom_mp_hero_f_bat_elite_wholebody,shirt,,509,0,none,,,,,,,,,,,,,,
usa_prestige_org1,shirt,,510,0,none,,,,,,,,,,,,,,
usa_pilot_org1,shirt,,511,0,none,,,,,,,,,,,,,,
zom_m_infected_head_r1c1,head,,492,0,none,,,,,,,,,,,,,,
mp_head_boehmer_mtx5,head,,494,0,none,,,,,,,,,,,,,,
mp_head_boehmer_org1,head,,495,0,none,,,,,,,,,,,,,,
mp_head_firing,head,,497,0,none,,,,,,,,,,,,,,
mp_head_recruitment,head,,498,0,none,,,,,,,,,,,,,,
mp_head_f_quarter_org1,head,,503,0,none,,,,,,,,,,,,,,
mp_head_requisition_org1,head,,504,0,none,,,,,,,,,,,,,,
mp_head_f_blacksmith_org1,head,,505,0,none,,,,,,,,,,,,,,
zom_head_rideau_org1,head,,506,0,none,,,,,,,,,,,,,,
mp_head_prestige_org1,head,,507,0,none,,,,,,,,,,,,,,
mp_head_pilot_hub,head,,508,0,none,,,,,,,,,,,,,,
mp_head_wasp_org1,head,,509,0,none,,,,,,,,,,,,,,
mp_head_playlist_org1,head,,510,0,none,,,,,,,,,,,,,,
mp_head_mail_org1,head,,511,0,none,,,,,,,,,,,,,,
mp_head_hubb,head,,499,0,none,,,,,,,,,,,,,,
mp_head_huba,head,,500,0,none,,,,,,,,,,,,,,
mp_head_hubc,head,,501,0,none,,,,,,,,,,,,,,
mp_head_hubd,head,,502,0,none,,,,,,,,,,,,,,
usa_hubb_org1,shirt,,499,0,none,,,,,,,,,,,,,,
usa_huba_org1,shirt,,500,0,none,,,,,,,,,,,,,,
usa_hubc_org1,shirt,,501,0,none,,,,,,,,,,,,,,
usa_hubd_org1,shirt,,502,0,none,,,,,,,,,,,,,,
usa_hube_org1,shirt,,503,0,none,,,,,,,,,,,,,,
mp_head_fte,head,,496,0,none,,,,,,,,,,,,,,
usa_player_fte,shirt,,496,0,none,,,,,,,,,,,,,,
zom_eyewear_bat_elite_org1,eyewear,,511,0,eyewear,,,,,,,,,,,,,,
mp_head_clark_r1c2s2_armymenallies,head,,490,0,none,,,,,,,,,,,,,,
mp_head_clark_r1c2s2_armymenaxis,head,,491,0,none,,,,,,,,,,,,,,
