a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24,z25,aa26,ab27,ac28,ad29,ae30,af31,ag32,ah33,ai34,
1,none,KILLSTREAKS_NONE,KILLSTREAKS_NONE_DESC,0,0,0,0,0,0,,mp_s2_earn_medal,,,,,,,specialty_ks_null,specialty_uav_crate,specialty_uav_crate,specialty_uav_crate,specialty_uav_crate,specialty_ks_null,dpad_killstreak_uav_static,specialty_ks_null,,,KILLSTREAKS_NONE_HINT,,,,,0,,
2,molotovs,KILLSTREAKS_MOLOTOVS,KILLSTREAKS_MOLOTOVS_DESC,300,225,650,3,2,6,MP_EARNED_MOLOTOVS,mp_s2_earn_flamethrower,ss_molotovs_achieve,molotovs,molotovs,1,killstreak_molotov_cocktail_mp,100,scorestreak_molotovs,scorestreak_molotovs_neutral_hud,scorestreak_molotovs_neutral_hud,scorestreak_molotovs_neutral_hud,scorestreak_molotovs_neutral_hud,scorestreak_molotovs,scorestreak_molotovs_neutral_hud,scorestreak_molotovs_neutral_hud,lethal,,KILLSTREAKS_MOLOTOVS_HINT,,KILLSTREAKS_DLC2_MOLOTOVS_BUFF,killstreak_molotov_cocktail_grenadier_mp,,500,,
3,uav,KILLSTREAKS_UAV,KILLSTREAKS_UAV_DESC,500,375,750,4,3,8,MP_EARNED_UAV,mp_s2_earn_spyplane,ss_reconplane_achieve,reconplane,reconplane,1,killstreak_uav_mp,100,scorestreak_recon_plane,scorestreak_uav_allies_hud,scorestreak_uav_allies_hud,scorestreak_uav_allies_hud,scorestreak_uav_allies_hud,scorestreak_recon_plane,scorestreak_uav_allies_hud,scorestreak_uav_allies_hud,support,,KILLSTREAKS_UAV_HINT,killstreak_uav_axis_mp,KILLSTREAKS_DLC2_UAV_BUFF,,,500,,
4,counter_uav,KILLSTREAKS_COUNTER_UAV,KILLSTREAKS_COUNTER_UAV_DESC,525,400,800,4,3,8,MP_EARNED_COUNTER_UAV,mp_s2_earn_counter_recon,ss_counterint_achieve,counterint,counterint,1,killstreak_uav_mp,100,scorestreak_counter_intelligence,scorestreak_counter_intelligence_neutral_hud,scorestreak_counter_intelligence_neutral_hud,scorestreak_counter_intelligence_neutral_hud,scorestreak_counter_intelligence_neutral_hud,scorestreak_counter_intelligence,scorestreak_counter_intelligence_neutral_hud,scorestreak_counter_intelligence_neutral_hud,support,,KILLSTREAKS_COUNTER_UAV_HINT,killstreak_uav_axis_mp,KILLSTREAKS_DLC2_COUNTER_UAV_BUFF,,,525,,
5,flamethrower,KILLSTREAKS_FLAMETHROWER,KILLSTREAKS_FLAMETHROWER_DESC,700,550,1250,7,6,13,MP_EARNED_FLAMETHROWER,mp_s2_earn_flamethrower,ss_flame_achieve,flame,flame,1,flamethrower_mp,100,scorestreak_flamethrower,scorestreak_flamethrower_neutral_hud,scorestreak_flamethrower_neutral_hud,scorestreak_flamethrower_neutral_hud,scorestreak_flamethrower_neutral_hud,scorestreak_flamethrower,scorestreak_flamethrower_neutral_hud,scorestreak_flamethrower_neutral_hud,lethal,,KILLSTREAKS_FLAMETHROWER_HINT,flamethrower_german_mp,KILLSTREAKS_DLC2_FLAMETHROWER_BUFF,flamethrower_grenadier_mp,flamethrower_german_grenadier_mp,950,,
6,fighter_strike,KILLSTREAKS_FIGHTER_STRIKE,KILLSTREAKS_FIGHTER_STRIKE_DESC,625,500,1000,5,4,11,MP_EARNED_FIGHTER_STRIKE,mp_s2_earn_plane_gunner,ss_fighterstraff_achieve,fighterstraff,fighterstraff,1,killstreak_air_strike_mp,100,scorestreak_fighter_strafing_run,scorestreak_fighter_strafing_run_allies_hud,scorestreak_fighter_strafing_run_allies_hud,scorestreak_fighter_strafing_run_allies_hud,scorestreak_fighter_strafing_run_allies_hud,scorestreak_fighter_strafing_run,scorestreak_fighter_strafing_run_allies_hud,scorestreak_fighter_strafing_run_allies_hud,lethal,strafing_run,KILLSTREAKS_FIGHTER_STRIKE_HINT,,KILLSTREAKS_DLC2_FIGHTER_STRIKE_BUFF,,,850,,
7,carepackage,KILLSTREAKS_CAREPACKAGE,KILLSTREAKS_CAREPACKAGE_DESC,575,450,900,5,4,10,MP_EARNED_CAREPACKAGE,mp_s2_earn_care_pkg,ss_cpkg_achieve,cpkg,cpkg,1,killstreak_carepackage_grenade_mp,100,scorestreak_care_package,scorestreak_care_package_allies_hud,scorestreak_care_package_allies_hud,scorestreak_care_package_allies_hud,scorestreak_care_package_allies_hud,scorestreak_care_package,scorestreak_care_package_allies_hud,scorestreak_care_package_allies_hud,support,,KILLSTREAKS_CAREPACKAGE_HINT,killstreak_carepackage_grenade_axis_mp,KILLSTREAKS_DLC2_CAREPACKAGE_BUFF,,,575,,
8,fritzx,KILLSTREAKS_FRITZX,KILLSTREAKS_FRITZX_DESC,650,525,1100,6,5,12,MP_EARNED_FRITZX,mp_s2_earn_fritz,ss_fritzx_achieve,fritzx,fritzx,1,killstreak_uav_mp,100,scorestreak_glide_missile,scorestreak_glide_missile_allies_hud,scorestreak_glide_missile_allies_hud,scorestreak_glide_missile_allies_hud,scorestreak_glide_missile_allies_hud,scorestreak_glide_missile,scorestreak_glide_missile_allies_hud,scorestreak_glide_missile_allies_hud,lethal,,KILLSTREAKS_FRITZX_HINT,killstreak_uav_axis_mp,KILLSTREAKS_DLC2_FRITZX_BUFF,,,700,,
9,mortar_strike,KILLSTREAKS_MORTAR_STRIKE,KILLSTREAKS_MORTAR_STRIKE_DESC,750,600,1400,7,6,14,MP_EARNED_MORTAR_STRIKE,mp_s2_earn_mortar_strike,ss_mortar_achieve,mortar,mortar,1,killstreak_air_strike_mp,100,scorestreak_mortar_strike,scorestreak_mortar_strike_neutral_hud,scorestreak_mortar_strike_neutral_hud,scorestreak_mortar_strike_neutral_hud,scorestreak_mortar_strike_neutral_hud,scorestreak_mortar_strike,scorestreak_mortar_strike_neutral_hud,scorestreak_mortar_strike_neutral_hud,lethal,,KILLSTREAKS_MORTAR_STRIKE_HINT,,KILLSTREAKS_DLC2_MORTAR_STRIKE_BUFF,,,750,,
10,missile_strike,KILLSTREAKS_MISSILE_STRIKE,KILLSTREAKS_MISSILE_STRIKE_DESC,850,700,1425,8,7,16,MP_EARNED_MISSILE_STRIKE,mp_s2_earn_artillery,ss_artillery_achieve,artillery,artillery,1,killstreak_air_strike_mp,100,scorestreak_artillery_strike,scorestreak_artillery_strike_neutral_hud,scorestreak_artillery_strike_neutral_hud,scorestreak_artillery_strike_neutral_hud,scorestreak_artillery_strike_neutral_hud,scorestreak_artillery_strike,scorestreak_artillery_strike_neutral_hud,scorestreak_artillery_strike_neutral_hud,lethal,,KILLSTREAKS_MISSILE_STRIKE_HINT,,KILLSTREAKS_DLC2_MISSILE_STRIKE_BUFF,,,825,,
