overlord,MPUI_OPERATION_OVERLORD,ui_transparent,0,,,,
winter,LOOT_MTX1_OPERATION,s2_operation_winter_siege,1514916000,LUA_MP_FRONTEND_MTX1_OPERATION_END_DATE,mtx1,,
resistance,LOOT_MTX2_OPERATION,s2_operation_resistance,1519754400,LUA_MENU_MTX2_OPERATION_END_DATE,resistance,,
special,LOOT_MTX3_5_OPERATION,ui_transparent,1522774800,,,,
escalation,LOOT_MTX4_OPERATION,s2_operation_escalation,1525798800,LUA_MENU_MTX4_OPERATION_END_DATE,mtx4,,
undead,LOOT_MTX5_OPERATION,s2_operation_zombiesiege,1530032400,LUA_MENU_MTX5_OPERATION_END_DATE,mtx5,,
confrontation,LOOT_MTX6_OPERATION,s2_operation_liberty_strike,1532451600,LUA_MENU_MTX6_OPERATION_END_DATE,mtx6,,
summer,LOOT_MTX7_OPERATION,s2_operation_days_of_summer,1535475600,LUA_MENU_MTX7_OPERATION_END_DATE,mtx7,,
liberation,LOOT_MTX8_OPERATION,s2_operation_covert_storm,1537894800,LUA_MENU_MTX8_OPERATION_END_DATE,mtx8,,
halloween,LOOT_MTX9_OPERATION,s2_operation_halloween_scream,1541440800,LUA_MENU_MTX9_OPERATION_END_DATE,mtx9,,
season2,LOOT_MTX10_OPERATION,ui_transparent,1541440800,LUA_MENU_MTX10_OPERATION_END_DATE,mtx10,,
season2part2,LOOT_MTX11_OPERATION,ui_transparent,1541440800,LUA_MENU_MTX11_OPERATION_END_DATE,mtx11,,
season2part3,LOOT_MTX12_OPERATION,ui_transparent,1541440800,LUA_MENU_MTX12_OPERATION_END_DATE,mtx12,,
donotremove,donotremove,donotremove,donotremove,donotremove,donotremove,donotremove,
