a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,
5,AEC_DAILY,daily_ch_1v1_wins,AEC_DAILY_1V1_WINS_TITLE,AEC_DAILY_1V1_WINS_DESC,,AEC_MEDIUM,,1,,,,,,,,,,,,,
6,AEC_DAILY,daily_ch_commend,AEC_DAILY_COMMEND_TITLE,AEC_DAILY_COMMEND_DESC,,AEC_EASY,,10,AEC_UNIT_PLAYERS_COMMENDED,,,,,,,,,,,,
7,AEC_DAILY,daily_ch_receive_commend,AEC_DAILY_RECEIVE_COMMENDATION_TITLE,AEC_DAILY_RECEIVE_COMMENDATION_DESC,,AEC_HARD,,5,AEC_UNIT_COMMENDATIONS_RECEIVED,,,,,,,,,,,,
8,AEC_DAILY,daily_ch_shootout_wins,AEC_DAILY_SHOOTOUT_WINS_TITLE,AEC_DAILY_SHOOTOUT_WINS_DESC,,AEC_MEDIUM,,3,AEC_UNIT_SHOOTOUTS_WON,,,,,,,,,,,,
9,AEC_DAILY,daily_ch_theater_watch,AEC_DAILY_THEATER_TITLE,AEC_DAILY_THEATER_DESC,,AEC_EASY,,1,,,,,,,,,,,,,
10,AEC_DAILY,daily_ch_kills,AEC_DAILY_KILLS_TITLE,AEC_DAILY_KILLS_DESC,,AEC_EASY,,25,AEC_UNIT_ENEMIES_KILLED,,,,,,,,,,,,
11,AEC_DAILY,daily_ch_headshots,AEC_DAILY_HEADSHOTS_TITLE,AEC_DAILY_HEADSHOTS_DESC,,AEC_MEDIUM,,10,AEC_UNIT_HEADSHOTS,,,,,,,,,,,,
12,AEC_DAILY,daily_ch_dom_wins,AEC_DAILY_DOM_WINS_TITLE,AEC_DAILY_DOM_WINS_DESC,,AEC_HARD,,1,,,,,,,,,,,,,
13,AEC_DAILY,daily_ch_tdm_wins,AEC_DAILY_TDM_WINS_TITLE,AEC_DAILY_TDM_WINS_DESC,,AEC_EASY,,1,,,,,,,,,,,,,
14,AEC_DAILY,daily_ch_killstreak,AEC_DAILY_10_KILLSTREAK_TITLE,AEC_DAILY_10_KILLSTREAK_DESC,,AEC_HARD,,1,,,,,,,,,,,,,
15,AEC_DAILY,daily_ch_dom_caps,AEC_DAILY_DOM_CAPS_TITLE,AEC_DAILY_DOM_CAPS_DESC,,AEC_EASY,,10,AEC_UNIT_POINTS_CAPTURED,,,,,,,,,,,,
16,AEC_DAILY,daily_ch_shovel_kills,AEC_DAILY_SHOVEL_KILLS_TITLE,AEC_DAILY_SHOVEL_KILLS_DESC,,AEC_MEDIUM,,5,AEC_UNIT_ENEMIES_KILLED,,,,,,,,,,,,
