a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,
0,specialty_null,PERKS_NONE,specialty_ks_null,PERKS_NONE,none,,,,,specialty_ks_null,,,,,
1,specialty_marathon,PERKS_MARATHON,specialty_s1_temp,PERKS_DESC_MARATHON,unused,,,,,,,,,,
2,specialty_fastreload,PERKS_FASTRELOAD,specialty_s1_temp,PERKS_DESC_FASTRELOAD,unused,,,,,,,,,,
3,specialty_scavenger,PERKS_SCAVENGER,specialty_s1_temp,PERKS_DESC_SCAVENGER,unused,,,,,,,,,,
4,specialty_blindeye,PERKS_BLINDEYE,specialty_s1_temp,PERKS_DESC_BLINDEYE,unused,,,,,,,,,,
5,specialty_paint,PERKS_PAINT,specialty_s1_temp,PERKS_DESC_PAINT,unused,,,,,,,,,,
6,specialty_hardline,PERKS_HARDLINE,specialty_s1_temp,PERKS_DESC_HARDLINE,unused,,,,,,,,,,
7,specialty_coldblooded,PERKS_COLDBLOODED,specialty_s1_temp,PERKS_DESC_COLDBLOODED,unused,,,,,,,,,,
8,specialty_heartbreaker,PERKS_ASSASSIN,specialty_s1_temp,PERKS_DESC_HEARTBREAKER,unused,,,,,,,,,,
9,specialty_quickdraw_new,PERKS_QUICKDRAW,specialty_s1_temp,PERKS_DESC_QUICKDRAW,unused,,,,,,,,,,
10,specialty_twoprimaries,PERKS_OVERKILL,specialty_twoprimaries_frontend,PERKS_DESC_OVERKILL,unused,,,,,,,,,,
11,specialty_blastshield2,PERKS_BLASTSHIELD,specialty_s1_temp,PERKS_DESC_BLASTSHIELD,unused,,,,,,,,,,
12,specialty_detectexplosive,PERKS_DETECTEXPLOSIVE,specialty_s1_temp,PERKS_DESC_DETECTEXPLOSIVE,unused,,,,,,,,,,
13,specialty_bulletaccuracy,PERKS_BULLETACCURACY,specialty_s1_temp,PERKS_DESC_BULLETACCURACY,unused,,LUA_MENU_PERK_CAPS,,,,,,,,
14,specialty_steadyaimpro,PERKS_STEADY_AIM,specialty_s1_temp,PERKS_DESC_STEADY_AIM,unused,,,,,,,,,,
15,specialty_quieter,PERKS_QUIETER,specialty_dead_silence,PERKS_DESC_QUIETER,unused,,LUA_MENU_PERK_CAPS,,,,specialty_s1_cp_lowprofile,,,,
16,specialty_silentmovement,,,,unused,,,,,,,,,,
17,specialty_stalker,PERKS_STALKER,specialty_s1_temp,PERKS_DESC_STALKER,unused,,,,,,,,,,
18,specialty_stalker_pro,,,,unused,,,,,,,,,,
19,specialty_fastmantle,PERKS_FASTMANTLE,specialty_s1_temp,PERKS_DESC_FASTMANTLE,unused,,,,,,,,,,
20,specialty_quickswap,PERKS_QUICKSWAP,specialty_s1_temp,PERKS_DESC_QUICKSWAP,unused,,,,,,,,,,
21,specialty_extraammo,PERKS_EXTRAAMMO,specialty_s1_temp,PERKS_DESC_EXTRAAMMO,unused,,,,,,,,,,
22,specialty_fasterlockon,PERKS_FASTERLOCKON,specialty_s1_temp,PERKS_DESC_FASTERLOCKON,unused,,,,,,,,,,
23,specialty_armorpiercing,PERKS_BLINDEYE_PRO,specialty_s1_temp,PERKS_UPGRADE_BLINDEYE,unused,,,,,,,,,,
24,specialty_paint_pro,PERKS_PAINT_PRO,specialty_s1_temp,PERKS_UPGRADE_PAINT,unused,,,,,,,,,,
25,specialty_rollover,PERKS_HARDLINE_PRO,specialty_s1_temp,PERKS_UPGRADE_HARDLINE,unused,,,,,,,,,,
26,specialty_assists,PERKS_HARDLINE_PRO,specialty_s1_temp,PERKS_UPGRADE_HARDLINE,unused,,,,,,,,,,
27,specialty_spygame,PERKS_SPYGAME,specialty_s1_temp,PERKS_DESC_SPYGAME,unused,,,,,,,,,,
28,specialty_empimmune,PERKS_ASSASSIN_PRO,specialty_s1_temp,PERKS_UPGRADE_ASSASSIN,unused,,,,,,,,,,
29,specialty_fastoffhand,PERKS_FASTOFFHAND,specialty_s1_temp,PERKS_DESC_FASTOFFHAND,unused,,,,,,,,,,
30,specialty_overkill,PERKS_OVERKILL,specialty_s1_temp,PERKS_UPGRADE_OVERKILL,unused,,,,,,,,,,
31,specialty_stun_resistance,PERKS_STUN_RESISTANCE,specialty_s1_temp,PERKS_DESC_STUN_RESISTANCE,unused,,,,,,,,,,
32,specialty_holdbreath,PERKS_HOLDBREATH,specialty_s1_temp,PERKS_DESC_HOLDBREATH,unused,,,,,,,,,,
33,specialty_improvedholdbreath,PERKS_IMPROVEDHOLDBREATH,specialty_s1_temp,PERKS_DESC_IMPROVEDHOLDBREATH,unused,,,,,,,,,,
34,specialty_selectivehearing,PERKS_SELECTIVEHEARING,specialty_awareness,PERKS_DESC_SELECTIVEHEARING,unused,,LUA_MENU_PERK_CAPS,,,,specialty_s1_cp_lowprofile,,,,
35,specialty_fastadsaftersprint,,,,unused,,,,,,,,,,
36,specialty_falldamage,PERKS_FALLDAMAGE,specialty_s1_temp,PERKS_DESC_FALLDAMAGE,unused,,,,,,,,,,
37,specialty_delaymine,PERKS_DELAYMINE,specialty_s1_temp,PERKS_DESC_DELAYMINE,unused,,,,,,,,,,
38,throwingknife_mp,PERKS_KNIFETHROW,throwing_knife,PERKS_DESC_KNIFETHROW,Lethal,,LUA_MENU_EXO_LAUNCHER_CAPS,,,ui_icon_throwing_knife_fe,,,,,
39,c4_mp,PERKS_C4,satchel_charge,PERKS_C4_DESC,Lethal,2,LUA_MENU_EXO_LAUNCHER_CAPS,,,equipment_c4,,,,,
40,claymore_mp,PERKS_CLAYMORE,equipment_claymore,PERKS_TRIP_ACTIVATED_EXPLOSIVE,other,2,,,,,,,,,
41,frag_grenade_mp,PERKS_FRAG_X_1,frag_grenade,PERKS_DESC_FRAG_X1,Lethal,2,LUA_MENU_EXO_LAUNCHER_CAPS,,,grenade_frag_fe,,,,,
42,semtex_mp,PERKS_SEMTEX,sticky_grenade,PERKS_DESC_SEMTEX,Lethal,,LUA_MENU_EXO_LAUNCHER_CAPS,,,grenade_semtex_fe,,,,,
43,bouncingbetty_mp,PERKS_BOUNCINGBETTY,bouncing_betty,PERKS_DESC_BOUNCINGBETTY,frag,,,,,,,,,,
44,s2_tactical_insertion_device_mp,PERKS_TACTICALINSERTION,ui_icon_tac_insert_fe,PERKS_DESC_TACTICALINSERTION,flash,1,LUA_MENU_EXO_ABILITY_CAPS,,,ui_icon_tac_insert_fe,,,,,
45,s2_tactical_insertion_cavalry_mp,,,,Tactical,1,,,,,,,,,
46,smoke_grenade_mp,PERKS_SMOKE_GRENADE,smoke_grenade,PERKS_DESC_SMOKE_GRENADE,Lethal,2,LUA_MENU_EXO_LAUNCHER_CAPS,,,grenade_smoke_fe,,,,,
47,emp_grenade_mp,PERKS_EMP_GRENADE,equipment_emp_grenade,PERKS_DESC_EMP_GRENADE,Lethal,2,LUA_MENU_EXO_LAUNCHER_CAPS,,,grenade_emp_fe,,,,,
48,flash_grenade_mp,PERKS_FLASH_GRENADE,flash_grenade,PERKS_DESC_FLASH_GRENADE,Tactical,2,,,,equipment_flash_grenade,,,,,
49,stun_grenade_mp,PERKS_STUN_GRENADE,stun_grenade,PERKS_DESC_STUN_GRENADE,Lethal,2,LUA_MENU_EXO_LAUNCHER_CAPS,,,grenade_stun_fe,,,,,
50,concussion_grenade_mp,PERKS_CONCUSSION_GRENADE,equipment_concussion_grenade,PERKS_DESC_CONCUSSION_GRENADE,frag,2,,,,,,,,,
51,scrambler_mp,PERKS_SCRAMBLER_ITEM,equipment_scrambler,PERKS_DESC_SCRAMBLER_ITEM,frag,1,,,,,,,,,
52,portable_radar_mp,PERKS_PORTABLE_RADAR_ITEM,equipment_portable_radar,PERKS_DESC_PORTABLE_RADAR_ITEM,frag,1,,,,,,,,,
53,specialty_revenge,PERKS_REVENGE,specialty_s1_temp,PERKS_DESC_REVENGE,deathstreak,5,,,,,,,,,
54,specialty_grenadepulldeath,PERKS_MARTYRDOM,specialty_s1_temp,PERKS_DROP_A_LIVE_GRENADE_WHEN,deathstreak,4,,,,,,,,,
55,specialty_c4death,PERKS_C4DEATH,specialty_s1_temp,PERKS_DESC_C4DEATH,deathstreak,6,,,,,,,,,
56,specialty_finalstand,PERKS_FINALSTAND,specialty_s1_temp,PERKS_DESC_FINALSTAND,deathstreak,4,,,,,,,,,
57,specialty_juiced,PERKS_JUICED,specialty_s1_temp,PERKS_DESC_JUICED,deathstreak,4,,,,,,,,,
58,specialty_uav,PERKS_UAV,specialty_s1_temp,PERKS_DESC_UAV,deathstreak,6,,,,,,,,,
59,specialty_stopping_power,PERKS_STOPPING_POWER,specialty_s1_temp,PERKS_DESC_STOPPING_POWER,deathstreak,5,,,,,,,,,
60,specialty_bulletpenetration,PERKS_DEEP_IMPACT,specialty_s1_temp,PERKS_DESC_DEEP_IMPACT,unused,,,,,,,,,,
61,specialty_marksman,PERKS_MARKSMAN,specialty_s1_temp,PERKS_DESC_MARKSMAN,unused,,,,,,,,,,
62,specialty_sharp_focus,PERKS_SHARPFOCUS,specialty_s1_temp,PERKS_DESC_SHARPFOCUS,unused,,,,,,,,,,
63,specialty_bling,PERKS_BLING,specialty_s1_temp,PERKS_DESC_BLING,unused,,,,,,,,,,
64,specialty_secondarybling,PERKS_SECONDARY_BLING,specialty_s1_temp,PERKS_DESC_SECONDARY_BLING,unused,,,,,,,,,,
65,specialty_pistoldeath,PERKS_LAST_STAND,specialty_s1_temp,PERKS_PULL_OUT_YOUR_PISTOL,unused,,,,,,,,,,
66,specialty_armorvest,PERKS_ARMORVEST,specialty_s1_temp,PERKS_DESC_ARMORVEST,unused,,,,,,,,,,
67,specialty_bulletdamage,PERKS_BULLETDAMAGE,specialty_s1_temp,PERKS_DESC_BULLETDAMAGE,unused,,,,,,,,,,
68,specialty_light_armor,PERKS_LIGHT_ARMOR,specialty_s1_temp,PERKS_DESC_LIGHT_ARMOR,unused,,,,,,,,,,
69,specialty_holdbreathwhileads,PERKS_HOLDBREATHWHILEADS,specialty_s1_temp,PERKS_DESC_HOLDBREATHWHILEADS,unused,,,,,,,,,,
70,specialty_longerrange,PERKS_LONGERRANGE,specialty_s1_temp,PERKS_DESC_LONGERRANGE,unused,,,,,,,,,,
71,specialty_fastermelee,PERKS_FASTERMELEE,specialty_s1_temp,PERKS_DESC_FASTERMELEE,unused,,,,,,,,,,
72,specialty_reducedsway,PERKS_REDUCEDSWAY,specialty_s1_temp,PERKS_DESC_REDUCEDSWAY,unused,,,,,,,,,,
73,specialty_lightweight,PERKS_LIGHTWEIGHT,specialty_s1_temp,PERKS_DESC_LIGHTWEIGHT,unused,,,,,,,,,,
74,specialty_moredamage,PERKS_MOREDAMAGE,specialty_s1_temp,PERKS_DESC_MOREDAMAGE,unused,,,,,,,,,,
75,specialty_explosivedamage,PERKS_EXPLOSIVEDAMAGE,specialty_s1_temp,PERKS_DESC_EXPLOSIVEDAMAGE,unused,,,,,,,,,,
76,specialty_saboteur,PERKS_SABOTEUR,specialty_saboteur,PERKS_DESC_SABOTEUR,unused,,,,,,,,,,
77,specialty_challenger,PERKS_CHALLENGER,specialty_s1_temp,PERKS_DESC_CHALLENGER,unused,,,,,,,,,,
78,specialty_radarblip,,,,unused,,,,,,,,,,
79,specialty_radararrow,,,,unused,,,,,,,,,,
80,specialty_radarjuggernaut,,,,unused,,,,,,,,,,
81,specialty_rof,,,,unused,,,,,,,,,,
82,specialty_crouchmovement,PERKS_CROUCHMOVEMENT,specialty_s1_temp,PERKS_DESC_CROUCHMOVEMENT,unused,,,,,,,,,,
83,specialty_sprintfire,PERKS_SPRINTFIRE,specialty_s1_temp,PERKS_DESC_SPRINTFIRE,unused,,,,,,,,,,
84,specialty_sprintreload,PERKS_SPRINTRELOAD,specialty_s1_temp,PERKS_DESC_SPRINTRELOAD,unused,,,,,,,,,,
85,specialty_sprintequipment,PERKS_SPRINTEQUIPMENT,specialty_s1_temp,PERKS_DESC_SPRINTEQUIPMENT,unused,,,,,,,,,,
86,specialty_threatdetection,PERKS_THREATDETECTION,specialty_s1_temp,PERKS_DESC_THREATDETECTION,unused,,,,,,,,,,
87,specialty_personaluav,PERKS_PERSONALUAV,specialty_s1_temp,PERKS_DESC_PERSONALUAV,unused,,,,,,,,,,
88,specialty_detectgrenade,PERKS_DETECTGRENADE,specialty_s1_temp,PERKS_DESC_DETECTGRENADE,unused,,,,,,,,,,
89,specialty_moreminimap,PERKS_MOREMINIMAP,specialty_s1_temp,PERKS_DESC_MOREMINIMAP,unused,,,,,,,,,,
90,specialty_enhancedtracer,PERKS_ENHANCEDTRACER,specialty_s1_temp,PERKS_DESC_ENHANCEDTRACER,unused,,,,,,,,,,
91,specialty_explosiveammoresupply,PERKS_SCAVENGER,specialty_s1_temp,PERKS_DESC_SCAVENGER,unused,,,,,,,,,,
92,specialty_lethalresupply,PERKS_SCAVENGER,specialty_s1_temp,PERKS_DESC_SCAVENGER,unused,,,,,,,,,,
93,specialty_tacticalresupply,PERKS_SCAVENGER,specialty_s1_temp,PERKS_DESC_SCAVENGER,unused,,,,,,,,,,
94,specialty_extralethal,PERKS_SCAVENGER,specialty_s1_temp,PERKS_DESC_SCAVENGER,unused,,,,,,,,,,
95,specialty_extratactical,PERKS_SCAVENGER,specialty_s1_temp,PERKS_DESC_SCAVENGER,unused,,,,,,,,,,
