a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,
maxrank,54,,,,,,,,,,,,,,,,,,
maxrankfinalprestige,999,,,,,,,,,,,,,,,,,,
maxprestige,10,,,,,,,,,,,,,,,,,,
0,pvt1,0,4000,RANK_PVT,RANK_PVT_FULL,rank_pvt,4000,,,,,,1,1,,RANK_PVT_FULL,PERKS_UNLOCKED_AT_LV1,ranked_up_1,
1,pvt2,4000,4600,RANK_PVT,RANK_PVT_FULL2,rank_pvt,8600,,,,,,2,2,,RANK_PVT_FULL_N,PERKS_UNLOCKED_AT_LV2,ranked_up_2,
2,pvt3,8600,5200,RANK_PVT,RANK_PVT_FULL3,rank_pvt,13800,,,,,,3,3,,RANK_PVT_FULL_N,PERKS_UNLOCKED_AT_LV3,ranked_up_3,
3,pfc1,13800,5800,RANK_PFC,RANK_PFC_FULL,rank_pfc,19600,,,,,,4,4,,RANK_PFC_FULL,PERKS_UNLOCKED_AT_LV4,ranked_up_4,
4,pfc2,19600,6400,RANK_PFC,RANK_PFC_FULL2,rank_pfc,26000,,,,,,5,5,,RANK_PFC_FULL_N,PERKS_UNLOCKED_AT_LV5,ranked_up_5,
5,pfc3,26000,7000,RANK_PFC,RANK_PFC_FULL3,rank_pfc,33000,,,,,,6,6,,RANK_PFC_FULL_N,PERKS_UNLOCKED_AT_LV6,ranked_up_6,
6,tec51,33000,7600,RANK_TEC5,RANK_TEC5_FULL,rank_tec5,40600,,,,,,7,7,,RANK_TEC5_FULL,PERKS_UNLOCKED_AT_LV7,ranked_up_7,
7,tec52,40600,8200,RANK_TEC5,RANK_TEC5_FULL2,rank_tec5,48800,,,,,,8,8,,RANK_TEC5_FULL_N,PERKS_UNLOCKED_AT_LV8,ranked_up_8,
8,tec53,48800,8800,RANK_TEC5,RANK_TEC5_FULL3,rank_tec5,57600,,,,,,9,9,,RANK_TEC5_FULL_N,PERKS_UNLOCKED_AT_LV9,ranked_up_9,
