ball,mp_ctf_spawn,mp_ball_spawn_allies_start,mp_ball_spawn_axis_start,
blades,mp_dm_spawn,mp_dm_spawn_start,none,
conf,mp_tdm_spawn,mp_tdm_spawn_allies_start,mp_tdm_spawn_axis_start,
ctf,mp_ctf_spawn,mp_ctf_spawn_allies_start,mp_ctf_spawn_axis_start,
demo,mp_ctf_spawn,mp_ctf_spawn_allies_start,mp_ctf_spawn_axis_start,
dm,mp_dm_spawn,mp_dm_spawn_start,none,
dom,mp_dom_spawn,mp_dom_spawn_allies_start,mp_dom_spawn_axis_start,
gun,mp_dm_spawn,mp_dm_spawn_start,none,
hp,mp_hp_spawn,mp_hp_spawn_allies_start,mp_hp_spawn_axis_start,
hub,mp_tdm_spawn,mp_tdm_spawn_allies_start,mp_tdm_spawn_axis_start,
infect,mp_dm_spawn,mp_dm_spawn_start,none,
raid,mp_raid_spawn,mp_raid_spawn_allies,mp_raid_spawn_axis,
scorestreak_training,mp_ctf_spawn,mp_ctf_spawn_allies_start,mp_ctf_spawn_axis_start,
sd,none,mp_sd_spawn_attacker,mp_sd_spawn_defender,
vlobby,mp_tdm_spawn,mp_tdm_spawn_allies_start,mp_tdm_spawn_axis_start,
war,mp_tdm_spawn,mp_tdm_spawn_allies_start,mp_tdm_spawn_axis_start,
zombies,mp_tdm_spawn,mp_tdm_spawn_allies_start,none,
prop,mp_tdm_spawn,mp_tdm_spawn_allies_start,mp_tdm_spawn_axis_start,
undead,mp_hp_spawn,mp_hp_spawn_allies_start,mp_hp_spawn_axis_start,
relic,mp_tdm_spawn,mp_tdm_spawn_allies_start,mp_tdm_spawn_axis_start,
dogfight,none,none,none,
dogfight_ffa,none,none,none,
