spawn_constants,LOSDistance,enemyDistance,allyDistance,enemySpawnAreaDistance,enemySpawnAreaTime,allyDeathDistance,allyDeathTime,CTFBaseDistance,HPZoneNearDistance,HPZoneTooCloseDistance,DOMPointTooCloseDistance,DOMPointPerferLastTeamSpawnTime,
save_squared_constant,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
mp_default,3200,2600,700,1000,6000,800,6000,1250,4000,1250,1000,22000,
mp_aachen_v2,,,,,,,,,,,,,
mp_battleship_2,,,,,,,,,,,,,
mp_canon_farm,,,,,,,,,,,,,
mp_carentan_s2,,,,,,,,,,,,,
mp_d_day,,,,,,,,,,,,,
mp_flak_tower,1800,,,,,,8000,,,,,,
mp_forest_01,,,,,,,,,,,,,
mp_france_village,,,,,,,,,,,,,
mp_gibraltar_02,,,,,,,,,,,,,
mp_london,,,,,,,,,,1100,,,
mp_paris_s2,,,,,,,,,,,,,
mp_wolfslair,,,,,,,,,,1000,,,
mp_house,1800,,,,4500,,8000,,,,,,
mp_stalingrad,,,,,,,,,,,,,
mp_market_garden,,,,,,,8000,,,,,,
mp_scorestreak_training,,,,,,,,,,,,,
mp_raid_cobra,,,,,,,,,,,,,
mp_raid_bulge,,,,,,,,,,,,,
mp_raid_d_day,,,,,,,,,,,,,
mp_raid_aachen,,,,,,,,,,,,,
mp_zombie_nest_01,,,,,,,,,,,,,
