critical_factors_modes,DEFAULT,TDM,SIDE_BASED,HP,ZOMBIES,RAIDS,UNDEAD,
assignedViaFrontline,,,,,,,,
obeyTeamAssignments,,,bad,,,bad,,
avoidSpawnInHPZone,,,,bad,,,bad,
zombiesIsInValidZone,,,,,bad,,,
avoidFullVisibleEnemies,bad,bad,bad,bad,,secondary,bad,
avoidEnemySpawn,bad,bad,bad,bad,secondary,,bad,
avoidGrenades,bad,bad,bad,bad,secondary,,bad,
avoidMines,bad,bad,bad,bad,secondary,,bad,
avoidScorestreakLocations,bad,bad,bad,bad,secondary,,bad,
avoidCarePackages,bad,bad,bad,bad,secondary,,bad,
avoidTelefrag,bad,bad,bad,bad,secondary,bad,bad,
avoidCornerVisibleEnemies,secondary,secondary,secondary,secondary,,,secondary,
