critical_factors_modes,DEFAULT,TDM,SIDE_BASED,HP,ZOMBIES,RAIDS,
assignedViaFrontline,,secondary,,,,,
obeyTeamAssignments,,,bad,,,bad,
avoidSpawnInHPZone,,,,bad,,,
raidsAvoidFullCoverVolumes,,,,,,,
zombiesIsInValidZone,,,,,bad,,
avoidFullVisibleEnemies,bad,bad,bad,bad,,secondary,
avoidEnemySpawn,bad,bad,bad,bad,secondary,,
avoidGrenades,bad,bad,bad,bad,secondary,,
avoidMines,bad,bad,bad,bad,secondary,,
avoidScorestreakLocations,bad,bad,bad,bad,secondary,,
avoidCarePackages,bad,bad,bad,bad,secondary,,
avoidTelefrag,bad,bad,bad,bad,secondary,bad,
avoidCornerVisibleEnemies,secondary,secondary,secondary,secondary,,,
