ball,UPLINK,,SIDE_BASED,,
blades,FFA,,DEFAULT,,
aon,FFA,,DEFAULT,,
oitc,FFA,,DEFAULT,,
conf,TDM,,TDM,,
control,HP,,DEFAULT,,
ctf,CTF,,SIDE_BASED,,
demo,DEFAULT,,SIDE_BASED,,
dm,FFA,,DEFAULT,,
dom,DOM,,DEFAULT,,
gun,FFA,,DEFAULT,,
hp,HP,,HP,,
hub,DEFAULT,,DEFAULT,,
infect,DEFAULT,,DEFAULT,,
lockdown,DOM,,DEFAULT,,
onevone,FFA,,DEFAULT,,
raid,RAIDS,,RAIDS,,
scorestreak_training,DEFAULT,,SIDE_BASED,,
sd,DEFAULT,,DEFAULT,,
vlobby,DEFAULT,,DEFAULT,,
war,TDM,,TDM,,
zombies,ZOMBIES,ZOMBIES_NPC,ZOMBIES,ZOMBIES,
undead,UNDEAD,,UNDEAD,,
relic,RELIC,,DEFAULT,,
dogfight,TDM,,TDM,,
dogfight_ffa,FFA,,DEFAULT,,
