headshot,SPLASHES_HEADSHOT,,s2_medal_kill_headshot,1.5,0.75,0.25,0.25,1,mp_s2_splash_headshot,,splash,,
assistedsuicide,SPLASHES_ASSISTEDSUICIDE,,s2_medal_kill_assisted_suicide,1.5,0.75,0.25,0.25,1,mp_s2_splash_kill,,splash,,
killstreak5,SPLASHES_BLOODTHIRSTY,,s2_medal_killstreak_bloodthirsty,1.5,0.75,0.25,0.25,1,mp_s2_splash_kill,,splash,,
killstreak10,SPLASHES_MERCILESS,,s2_medal_killstreak_merciless,1.5,0.75,0.25,0.25,1,mp_s2_splash_kill,,splash,,
killstreak15,SPLASHES_RUTHLESS,,s2_medal_killstreak_ruthless,1.5,0.75,0.25,0.25,1,mp_s2_splash_headshot,,splash,,
killstreak20,SPLASHES_RELENTLESS,,s2_medal_killstreak_relentless,1.5,0.75,0.25,0.25,1,mp_s2_splash_headshot,,splash,,
killstreak25,SPLASHES_BRUTAL,,s2_medal_killstreak_brutal,1.5,0.75,0.25,0.25,1,mp_s2_splash_headshot,,splash,,
killstreak30,SPLASHES_NUCLEAR,,s2_medal_killstreak_nuclear,1.5,0.75,0.25,0.25,1,mp_s2_splash_headshot,,splash,,
killstreak30plus,SPLASHES_UNSTOPPABLE,,s2_medal_killstreak_unstoppable,1.5,0.75,0.25,0.25,1,mp_s2_splash_headshot,,splash,,
callout_kill_streaking,SPLASHES_KILL_STREAKING,SPLASHES_KILL_STREAKING,,4,1,1,1,1,null,,playercard_splash,,
longshot,SPLASHES_LONGSHOT,,s2_medal_kill_longshot,1.5,0.75,0.25,0.25,1,mp_s2_splash_headshot,,splash,,
firstplacekill,SPLASHES_FIRST_PLACE_KILL,,s2_medal_kill_kingslayer,1.5,0.75,0.25,0.25,1,mp_s2_splash_kill,,splash,,
backstab,SPLASHES_BACKSTAB,,s2_medal_kill_silent_kill,1.5,0.75,0.25,0.25,1,mp_s2_splash_kill,,splash,,
bulletpen,SPLASHES_BULLETPEN,,s2_medal_kill_puncture,1.5,0.75,0.25,0.25,1,mp_s2_splash_headshot,,splash,,
avenger,SPLASHES_AVENGER,,s2_medal_kill_avenger,1.5,0.75,0.25,0.25,1,mp_s2_earn_medal,,splash,,
defender,SPLASHES_DEFENDER,,s2_medal_kill_savior,1.5,0.75,0.25,0.25,1,mp_s2_earn_medal,,splash,,
pointblank,SPLASHES_POINT_BLANK,,s2_medal_kill_point_blank,1.5,0.75,0.25,0.25,1,mp_s2_splash_kill,,splash,,
posthumous,SPLASHES_POSTHUMOUS,,s2_medal_kill_posthumous,1.5,0.75,0.25,0.25,1,mp_s2_splash_kill,,splash,,
hijacker,SPLASHES_HIJACKER,,s2_medal_destroyscorestreak_highjacker,2.5,0.75,0.25,0.25,1,mp_s2_earn_medal,,splash,,
hijacked_airdrop,SPLASHES_HIJACKED_AIRDROP,SPLASHES_HIJACKED_AIRDROP,,4,1,1,1,1,mp_s2_earn_medal,,playercard_splash,,
sharepackage,SPLASHES_SHAREPACKAGE,,s2_medal_scorestreak_shared,1.5,0.75,0.25,0.25,1,mp_s2_earn_medal,,splash,,
oneshotkill,SPLASHES_ONE_SHOT_KILL,,s2_medal_kill_one_shot_one_kill,1.5,0.75,0.25,0.25,1,mp_s2_splash_headshot,,splash,,
revenge,SPLASHES_REVENGE,,s2_medal_kill_revenge,1.5,0.75,0.25,0.25,1,mp_s2_splash_payback,,splash,,
doublekill,SPLASHES_DOUBLEKILL,,s2_medal_rapid_double_kill,1.5,0.75,0.25,0.25,1,mp_s2_splash_kill,,splash,,
triplekill,SPLASHES_TRIPLEKILL,,s2_medal_rapidkill_triple_kill,1.5,0.75,0.25,0.25,1,mp_s2_splash_kill,,splash,,
callout_3xkill,SPLASHES_TRIPLEKILL,SPLASHES_TRIPLEKILL_DESC,,4,1,1,1,1,null,,playercard_splash,,
