a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,p16,r17,s18,t19,u20,v21,w22,x23,y24,z25,aa26,bb27,cc28,dd29,ee30,ff31,gg32,hh33,ii34,jj35,kk36,ll37,mm38,nn39,oo40,pp41,qq42,rr43,ss44,tt45,uu46,vv47,ww48,xx49,yy50,zz51,aaa52,bbb53,ccc54,ddd55,eee66,
armory_credits,LOOT_ARMORYCREDIT_COMMON,armorycredit_common,0,armory_credit,,,,,,0,0,0,0,0,0,0,0,0xC00071,,,,1,,0,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,1,,,,,,Gold,
armory_credits,LOOT_ARMORYCREDIT_EPIC,armorycredit_epic,0,armory_credit,,,,,,0,0,0,0,0,0,0,0,0xC00074,,,,1,,0,0,,,,3,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,2,,,,,,Gold,
armory_credits,LOOT_ARMORYCREDIT_LEGENDARY,armorycredit_legendary,0,armory_credit,,,,,,0,0,0,0,0,0,0,0,0xC00073,,,,1,,0,0,,,,2,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,3,,,,,,Gold,
armory_credits,LOOT_ARMORYCREDIT_RARE,armorycredit_rare,0,armory_credit,,,,,,0,0,0,0,0,0,0,0,0xC00072,,,,1,,0,0,,,,1,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,4,,,,,,Gold,
boosterpack,,day_1_login_reward,0,,,,,,,0,0,0,0,0,0,0,0,0x41,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,5,,,,,,Gold,
boosterpack,,day_1_login_reward_alt,0,,,,,,,0,0,0,0,0,0,0,0,0x84,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,11585,,,,,,MTX7,
boosterpack,,day_2_login_reward,0,,,,,,,0,0,0,0,0,0,0,0,0x42,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,6,,,,,,Gold,
boosterpack,,day_2_login_reward_alt,0,,,,,,,0,0,0,0,0,0,0,0,0x85,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,11586,,,,,,MTX7,
boosterpack,,day_3_login_reward,0,,,,,,,0,0,0,0,0,0,0,0,0x43,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,7,,,,,,Gold,
boosterpack,,day_3_login_reward_alt,0,,,,,,,0,0,0,0,0,0,0,0,0x86,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,11587,,,,,,MTX7,
