a1,b2,c3,d4,e5,f6,g7,h8,i9,j10,k11,l12,
1p_sku_helmet_unlock,loot,0,,,,,,,,,,
1p_sku_mtx6_helmet_unlock,loot,0,,,,,,,,,,
1p_sku_mtx6_uniform_unlock,loot,0,,,,,,,,,,
1p_sku_mtx6_weapon_unlock,loot,0,,,,,,,,,,
1p_sku_summer_helmet_unlock,loot,0,,,,,,,,,,
1p_sku_summer_uniform_unlock,loot,0,,,,,,,,,,
1p_sku_summer_uniform_unlock_2,loot,0,,,,,,,,,,
1p_sku_summer_weapon_unlock,loot,0,,,,,,,,,,
1p_sku_uniform_unlock,loot,0,,,,,,,,,,
1p_sku_uniform2_unlock,loot,0,,,,,,,,,,
1psku_mtx6_normal_daily_unlock,loot,0,,,,,,,,,,
airstrike,killstreak,33,,ch_cacToken_airstrike,ch_prPurchase_airstrike,,,,,,,
akimbo,attachmentUnlock,0,,,,,,,,,,
akimbo_fullauto,attachmentUnlock,0,,,,,,,,,,
akimbo_fullauto_zm,attachmentUnlock,0,,,,,,,,,,
akimbo_zm,attachmentUnlock,0,,,,,,,,,,
allShipCollectionsComplete,loot,0,,,,,,,,,,
aperture_sight,attachmentUnlock,0,,,,,,,,,,
aperture_sight_1897,attachmentUnlock,0,,,,,,,,,,
aperture_sight_austen,attachmentUnlock,0,,,,,,,,,,
aperture_sight_avs36,attachmentUnlock,0,,,,,,,,,,
aperture_sight_bar,attachmentUnlock,0,,,,,,,,,,
aperture_sight_bechowiec,attachmentUnlock,0,,,,,,,,,,
aperture_sight_beretta,attachmentUnlock,0,,,,,,,,,,
aperture_sight_blyskawica,attachmentUnlock,0,,,,,,,,,,
aperture_sight_bren,attachmentUnlock,0,,,,,,,,,,
aperture_sight_charlton,attachmentUnlock,0,,,,,,,,,,
aperture_sight_chatelleroult,attachmentUnlock,0,,,,,,,,,,
aperture_sight_dp28,attachmentUnlock,0,,,,,,,,,,
aperture_sight_emp44,attachmentUnlock,0,,,,,,,,,,
aperture_sight_erma,attachmentUnlock,0,,,,,,,,,,
aperture_sight_federov,attachmentUnlock,0,,,,,,,,,,
aperture_sight_fg42,attachmentUnlock,0,,,,,,,,,,
aperture_sight_g43,attachmentUnlock,0,,,,,,,,,,
aperture_sight_greasegun,attachmentUnlock,0,,,,,,,,,,
aperture_sight_grofuss,attachmentUnlock,0,,,,,,,,,,
aperture_sight_kgm21,attachmentUnlock,0,,,,,,,,,,
aperture_sight_lad,attachmentUnlock,0,,,,,,,,,,
aperture_sight_lewis,attachmentUnlock,0,,,,,,,,,,
aperture_sight_m1919,attachmentUnlock,0,,,,,,,,,,
aperture_sight_m1935,attachmentUnlock,0,,,,,,,,,,
aperture_sight_m1941,attachmentUnlock,0,,,,,,,,,,
aperture_sight_m1a1,attachmentUnlock,0,,,,,,,,,,
aperture_sight_m1garand,attachmentUnlock,0,,,,,,,,,,
aperture_sight_m2carbine,attachmentUnlock,0,,,,,,,,,,
aperture_sight_m2hyde,attachmentUnlock,0,,,,,,,,,,
aperture_sight_m30,attachmentUnlock,0,,,,,,,,,,
aperture_sight_mas38,attachmentUnlock,0,,,,,,,,,,
aperture_sight_mg15,attachmentUnlock,0,,,,,,,,,,
