teamkill,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
suicide,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
headshot,1,0,,50,50,25,50,50,25,50,50,50,50,50,50,50,50,0,25,25,5,50,50,50,50,50,50,50,50,50,
avenger,1,0,,50,50,25,50,50,25,50,50,50,50,50,50,50,50,0,25,25,0,50,50,50,50,50,50,50,50,50,
bulletpen,1,0,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,25,25,0,25,25,25,25,25,25,25,25,25,
pointblank,1,0,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,25,25,10,25,25,25,25,25,25,25,25,25,
firstplacekill,1,0,,100,100,50,100,100,50,100,100,100,100,100,100,100,100,0,50,50,0,100,100,100,100,100,100,100,100,100,
posthumous,1,0,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,25,25,0,25,25,25,25,25,25,25,25,25,
backstab,1,0,,50,50,25,50,50,25,50,50,50,50,50,50,50,50,0,25,25,10,50,50,50,50,50,50,50,50,50,
silentkill,1,0,,50,50,25,50,50,25,50,50,50,50,50,50,50,50,0,25,25,10,50,50,50,50,50,50,50,50,50,
revenge,1,0,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,50,25,0,50,50,50,50,50,50,50,50,50,
doublekill,1,0,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,50,0,100,100,100,100,100,100,100,100,100,
triplekill,1,0,,250,250,250,250,250,250,250,250,250,250,250,250,250,250,0,250,125,0,250,250,250,250,250,250,250,250,250,
fourkill,1,0,,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0,500,250,0,500,500,500,500,500,500,500,500,500,
fivekill,1,0,,750,750,750,750,750,750,750,750,750,750,750,750,750,750,0,750,375,0,750,750,750,750,750,750,750,750,750,
sixkill,1,0,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,500,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,
sevenkill,1,0,,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,0,1250,625,0,1250,1250,1250,1250,1250,1250,1250,1250,1250,
eightkill,1,0,,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,1500,750,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,
multikill,1,0,,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,2000,1000,0,2000,2000,2000,2000,2000,2000,2000,2000,2000,
buzzkill,1,0,,100,100,50,100,100,50,100,100,100,100,100,100,100,100,0,50,0,0,100,100,100,100,100,100,100,100,100,
oneshotkill,1,0,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,25,25,2,25,25,25,25,25,25,25,25,25,
firstblood,1,0,,100,100,25,100,100,25,100,100,100,100,100,100,100,100,0,25,50,0,100,100,100,100,100,100,100,100,100,
comeback,1,0,,100,100,25,100,100,25,100,100,100,100,100,100,100,100,0,25,50,0,100,100,100,100,100,100,100,100,100,
defender,1,0,,0,50,50,50,50,50,50,0,50,50,50,50,50,50,0,50,50,10,50,0,0,0,0,50,50,50,0,
