a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,
0,hud_playerlevel_1,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
1,hud_playerlevel_2,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
2,hud_playerlevel_3,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
3,hud_playerlevel_4,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
4,hud_playerlevel_5,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
5,hud_playerlevel_6,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
6,hud_playerlevel_7,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
7,hud_playerlevel_8,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
8,hud_playerlevel_9,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
9,hud_playerlevel_10,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
10,hud_playerlevel_11,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
11,hud_playerlevel_12,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
12,hud_playerlevel_13,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
13,hud_playerlevel_14,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
14,hud_playerlevel_15,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
15,hud_playerlevel_16,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
