a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,
0,shattered_rank_01,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
1,shattered_rank_01,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
2,shattered_rank_01,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
3,shattered_rank_01,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
4,shattered_rank_02,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
5,shattered_rank_02,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
6,shattered_rank_02,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
7,shattered_rank_02,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
8,shattered_rank_02,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
9,shattered_rank_03,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
10,shattered_rank_03,rank_zm_prestige_1,rank_zm_prestige_2,rank_zm_prestige_3,rank_zm_prestige_4,rank_zm_prestige_5,rank_zm_prestige_6,rank_zm_prestige_7,rank_zm_prestige_8,rank_zm_prestige_9,rank_zm_prestige_10,
