loadoutName,ZOMBIES_CLASS1,ZOMBIES_CLASS2,ZOMBIES_CLASS3,ZOMBIES_CLASS4,ZOMBIES_CLASS5,ZOMBIES_CLASS6,ZOMBIES_CLASS7,ZOMBIES_CLASS8,ZOMBIES_CLASS9,ZOMBIES_CLASS10,CLASS_DEFAULT,CLASS_DEFAULT,
loadoutDivision,5,5,5,5,5,5,5,5,5,5,5,5,
loadoutPrimary,m1911_mp,luger_mp,m1911_mp,luger_mp,m1911_mp,model21_mp,m30_mp,svt40_mp,model21_mp,m1911_mp,m1911_mp,m1911_mp,
loadoutPrimaryAttachment,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment2,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment3,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment4,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment5,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment6,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryCamo,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryCamo2,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryReticle,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondary,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment2,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment3,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment4,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment5,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment6,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryCamo,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryCamo2,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryReticle,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutEquipment,semtex_mp,c4_mp,bouncingbetty_mp,throwingknife_mp,frag_grenade_mp,frag_grenade_mp,frag_grenade_mp,frag_grenade_mp,frag_grenade_mp,frag_grenade_mp,frag_grenade_mp,frag_grenade_mp,
loadoutEquipmentNumExtra,0,0,0,0,0,0,0,0,0,0,0,0,
loadoutOffhand,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutOffhandNumExtra,0,0,0,0,0,0,0,0,0,0,0,0,
loadoutPerk1,specialty_class_squad_tactics_zm,specialty_class_exploit_weakness_zm,specialty_class_team_effort_zm,specialty_class_covert_exfiltration_zm,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk4,specialty_class_fully_loaded_zm,specialty_class_breathing_room_zm,specialty_class_counter_offensive_zm,specialty_class_dutiful_medic_zm,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk5,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk6,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk7,specialty_class_aftertaste_zm,specialty_class_bolster_morale_zm,specialty_class_longlasting_zm,specialty_class_preventative_medicine_zm,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk8,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk9,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
ability,role_ability_mad_minute_zm,role_ability_stunning_burst_zm,role_ability_taunt_zm,role_ability_camo_zm,role_ability_stunning_burst_zm,role_ability_taunt_zm,role_ability_camo_zm,role_ability_mad_minute_zm,role_melee_frenzy_zm,role_melee_frenzy_zm,role_ability_stunning_burst_zm,role_ability_stunning_burst_zm,
